Time(s),Motor_Angle(deg),Motor_Angle(rad),Pendulum_Angle(deg),Pendulum_Angle(rad),Pendulum_Angle_From_Upright(deg),Motor_Velocity(rad/s),Pendulum_Velocity(rad/s),Motor_Voltage(V),Controller_Mode,Motor_RPM
0.013,44.600,0.778,-7.200,-0.126,172.800,0.000,0.000,-2.000,Bang-Bang,-64.0
0.028,-137.690,-2.403,-0.520,-0.009,179.480,0.000,0.000,2.000,Bang-Bang,0.0
0.048,-137.690,-2.403,0.520,0.009,179.480,0.000,0.000,2.000,Bang-Bang,0.0
0.064,-137.690,-2.403,1.930,0.034,178.070,0.000,0.000,2.000,Bang-Bang,0.0
0.079,-137.160,-2.394,3.860,0.067,176.140,0.000,0.000,2.000,Bang-Bang,0.0
0.097,-135.930,-2.372,6.150,0.107,173.850,0.000,0.000,2.000,Bang-Bang,16.0
0.122,-134.000,-2.339,9.140,0.160,170.860,0.000,0.000,2.000,Bang-Bang,22.0
0.138,-128.720,-2.247,15.820,0.276,164.180,0.000,0.000,2.000,Bang-Bang,32.0
0.166,-125.380,-2.188,19.330,0.337,160.670,0.000,0.000,2.000,Bang-Bang,35.0
0.189,-118.880,-2.075,24.780,0.432,155.220,0.000,0.000,2.000,Bang-Bang,37.0
0.222,-114.130,-1.992,27.590,0.482,152.410,0.000,0.000,2.000,Bang-Bang,37.0
0.245,-106.570,-1.860,29.530,0.515,150.470,0.000,0.000,2.000,Bang-Bang,38.0
0.262,-100.950,-1.762,29.170,0.509,150.830,0.000,0.000,-2.000,Bang-Bang,39.0
0.288,-96.910,-1.691,27.940,0.488,152.060,0.000,0.000,-2.000,Bang-Bang,40.0
0.335,-90.580,-1.581,24.600,0.429,155.400,0.000,0.000,-2.000,Bang-Bang,41.0
0.356,-83.720,-1.461,10.540,0.184,169.460,0.000,0.000,-2.000,Bang-Bang,14.0
0.375,-83.900,-1.464,-0.870,-0.015,179.130,0.000,0.000,2.000,Bang-Bang,-4.0
0.395,-85.130,-1.486,-11.420,-0.199,168.580,0.000,0.000,2.000,Bang-Bang,-12.0
0.414,-86.530,-1.510,-22.500,-0.393,157.500,0.000,0.000,2.000,Bang-Bang,-11.0
0.428,-86.890,-1.517,-30.580,-0.534,149.420,0.000,0.000,2.000,Bang-Bang,-5.0
