Time(s),Motor_Angle(deg),Motor_Angle(rad),Pendulum_Angle(deg),Pendulum_Angle(rad),Pendulum_Angle_From_Upright(deg),Motor_Velocity(rad/s),Pendulum_Velocity(rad/s),Motor_Voltage(V),Controller_Mode,Motor_RPM
0.445,-85.830,-1.498,-34.800,-0.607,145.200,0.000,0.000,-2.000,Bang-Bang,10.0
0.468,-83.900,-1.464,-37.960,-0.663,142.040,0.000,0.000,-2.000,Bang-Bang,23.0
0.484,-79.500,-1.388,-39.370,-0.687,140.630,0.000,0.000,-2.000,Bang-Bang,35.0
0.499,-76.340,-1.332,-38.670,-0.675,141.330,0.000,0.000,2.000,Bang-Bang,36.0
0.524,-73.000,-1.274,-36.910,-0.644,143.090,0.000,0.000,2.000,Bang-Bang,35.0
0.545,-67.730,-1.182,-32.510,-0.567,147.490,0.000,0.000,2.000,Bang-Bang,35.0
0.560,-62.280,-1.087,-26.190,-0.457,153.810,0.000,0.000,2.000,Bang-Bang,47.0
0.574,-56.830,-0.992,-19.510,-0.341,160.490,0.000,0.000,2.000,Bang-Bang,61.0
0.618,-50.850,-0.887,-11.950,-0.209,168.050,0.000,0.000,2.000,Bang-Bang,75.0
0.633,-28.880,-0.504,14.760,0.258,165.240,0.000,0.000,2.000,Bang-Bang,85.0
0.650,-21.140,-0.369,24.430,0.426,155.570,0.000,0.000,2.000,Bang-Bang,77.0
0.666,-13.940,-0.243,33.040,0.577,146.960,0.000,0.000,2.000,Bang-Bang,67.0
0.684,-8.490,-0.148,39.190,0.684,140.810,0.000,0.000,2.000,Bang-Bang,60.0
0.700,-1.630,-0.028,46.230,0.807,133.770,0.000,0.000,2.000,Bang-Bang,52.0
0.716,3.110,0.054,49.920,0.871,130.080,0.000,0.000,2.000,Bang-Bang,49.0
0.735,7.330,0.128,52.380,0.914,127.620,0.000,0.000,2.000,Bang-Bang,47.0
0.749,12.960,0.226,53.780,0.939,126.220,0.000,0.000,2.000,Bang-Bang,45.0
0.766,16.650,0.291,53.430,0.933,126.570,0.000,0.000,-2.000,Bang-Bang,44.0
0.784,21.040,0.367,51.850,0.905,128.150,0.000,0.000,-2.000,Bang-Bang,43.0
0.797,25.610,0.447,48.330,0.844,131.670,0.000,0.000,-2.000,Bang-Bang,42.0
0.810,28.780,0.502,44.290,0.773,135.710,0.000,0.000,-2.000,Bang-Bang,35.0
0.822,30.890,0.539,39.720,0.693,140.280,0.000,0.000,-2.000,Bang-Bang,28.0
0.836,32.470,0.567,33.570,0.586,146.430,0.000,0.000,-2.000,Bang-Bang,20.0
0.849,33.000,0.576,25.830,0.451,154.170,0.000,0.000,-2.000,Bang-Bang,13.0
0.861,32.470,0.567,16.690,0.291,163.310,0.000,0.000,-2.000,Bang-Bang,-5.0
0.875,30.540,0.533,5.620,0.098,174.380,0.000,0.000,-2.000,Bang-Bang,-26.0
0.892,27.720,0.484,-6.850,-0.120,173.150,0.000,0.000,-2.000,Bang-Bang,-36.0
0.908,24.210,0.423,-22.140,-0.386,157.860,0.000,0.000,-2.000,Bang-Bang,-31.0
0.926,22.100,0.386,-34.100,-0.595,145.900,0.000,0.000,-2.000,Bang-Bang,-23.0
0.939,20.520,0.358,-46.930,-0.819,133.070,0.000,0.000,-2.000,Bang-Bang,-13.0
0.953,19.990,0.349,-54.490,-0.951,125.510,0.000,0.000,-2.000,Bang-Bang,-10.0
0.966,19.640,0.343,-61.340,-1.071,118.660,0.000,0.000,-2.000,Bang-Bang,-5.0
0.981,19.460,0.340,-66.620,-1.163,113.380,0.000,0.000,-2.000,Bang-Bang,-5.0
0.995,19.290,0.337,-71.010,-1.239,108.990,0.000,0.000,-2.000,Bang-Bang,-3.0
1.010,19.290,0.337,-73.820,-1.288,106.180,0.000,0.000,-2.000,Bang-Bang,-2.0
1.022,19.110,0.334,-75.760,-1.322,104.240,0.000,0.000,-2.000,Bang-Bang,-1.0
1.034,18.760,0.327,-76.110,-1.328,103.890,0.000,0.000,-2.000,Bang-Bang,-1.0
1.047,18.410,0.321,-75.580,-1.319,104.420,0.000,0.000,2.000,Bang-Bang,-1.0
1.062,17.880,0.312,-73.820,-1.288,106.180,0.000,0.000,2.000,Bang-Bang,-4.0
1.077,17.180,0.300,-70.660,-1.233,109.340,0.000,0.000,2.000,Bang-Bang,-6.0
1.090,16.830,0.294,-65.910,-1.150,114.090,0.000,0.000,2.000,Bang-Bang,-6.0
1.103,16.830,0.294,-60.110,-1.049,119.890,0.000,0.000,2.000,Bang-Bang,5.0
1.117,17.530,0.306,-53.080,-0.926,126.920,0.000,0.000,2.000,Bang-Bang,3.0
1.131,19.460,0.340,-43.590,-0.761,136.410,0.000,0.000,2.000,Bang-Bang,25.0
1.147,22.100,0.386,-33.390,-0.583,146.610,0.000,0.000,2.000,Bang-Bang,42.0
1.162,28.250,0.493,-17.050,-0.298,162.950,0.000,0.000,2.000,Bang-Bang,70.0
1.177,34.750,0.607,-2.810,-0.049,177.190,0.000,0.000,-2.000,Bang-Bang,91.0
1.192,44.070,0.769,16.520,0.288,163.480,0.000,0.000,-2.000,Bang-Bang,84.0
1.207,50.750,0.886,32.340,0.564,147.660,0.000,0.000,-2.000,Bang-Bang,63.0
1.222,54.790,0.956,44.640,0.779,135.360,0.000,0.000,-2.000,Bang-Bang,38.0
1.235,57.080,0.996,54.840,0.957,125.160,0.000,0.000,-2.000,Bang-Bang,22.0
1.250,57.780,1.008,61.870,1.080,118.130,0.000,0.000,-2.000,Bang-Bang,14.0
1.263,57.960,1.012,68.730,1.200,111.270,0.000,0.000,-2.000,Bang-Bang,4.0
1.279,57.610,1.005,73.120,1.276,106.880,0.000,0.000,2.000,Bang-Bang,-3.0
1.297,56.380,0.984,76.640,1.338,103.360,0.000,0.000,2.000,Bang-Bang,-10.0
1.313,54.440,0.950,78.570,1.371,101.430,0.000,0.000,2.000,Bang-Bang,-18.0
1.328,52.680,0.919,78.390,1.368,101.610,0.000,0.000,-2.000,Bang-Bang,-19.0
1.345,51.280,0.895,76.990,1.344,103.010,0.000,0.000,-2.000,Bang-Bang,-18.0
1.360,49.170,0.858,72.940,1.273,107.060,0.000,0.000,-2.000,Bang-Bang,-17.0
1.375,47.590,0.831,68.550,1.196,111.450,0.000,0.000,-2.000,Bang-Bang,-20.0
1.386,44.770,0.781,61.340,1.071,118.660,0.000,0.000,-2.000,Bang-Bang,-31.0
1.398,41.960,0.732,54.490,0.951,125.510,0.000,0.000,-2.000,Bang-Bang,-41.0
1.411,38.450,0.671,46.750,0.816,133.250,0.000,0.000,-2.000,Bang-Bang,-54.0
1.423,33.520,0.585,37.260,0.650,142.740,0.000,0.000,-2.000,Bang-Bang,-72.0
1.435,27.020,0.472,25.830,0.451,154.170,0.000,0.000,-2.000,Bang-Bang,-96.0
1.448,19.110,0.334,13.180,0.230,166.820,0.000,0.000,-2.000,Bang-Bang,-121.0
1.462,8.920,0.156,-1.750,-0.031,178.250,0.000,0.000,-2.000,Bang-Bang,-135.0
1.478,-1.980,-0.035,-17.920,-0.313,162.080,0.000,0.000,-2.000,Bang-Bang,-123.0
1.494,-12.000,-0.209,-34.100,-0.595,145.900,0.000,0.000,-2.000,Bang-Bang,-96.0
1.511,-19.910,-0.347,-47.980,-0.837,132.020,0.000,0.000,-2.000,Bang-Bang,-75.0
1.524,-26.590,-0.464,-61.170,-1.068,118.830,0.000,0.000,-2.000,Bang-Bang,-60.0
1.536,-31.160,-0.544,-70.130,-1.224,109.870,0.000,0.000,2.000,Bang-Bang,-51.0
1.551,-34.680,-0.605,-76.810,-1.341,103.190,0.000,0.000,2.000,Bang-Bang,-47.0
1.564,-38.550,-0.673,-83.670,-1.460,96.330,0.000,0.000,2.000,Bang-Bang,-44.0
1.580,-41.890,-0.731,-88.410,-1.543,91.590,0.000,0.000,2.000,Bang-Bang,-40.0
1.595,-45.400,-0.792,-92.810,-1.620,87.190,0.000,0.000,2.000,Bang-Bang,-35.0
1.610,-48.210,-0.841,-95.090,-1.660,84.910,0.000,0.000,2.000,Bang-Bang,-33.0
1.623,-51.200,-0.894,-96.320,-1.681,83.680,0.000,0.000,2.000,Bang-Bang,-30.0
1.635,-53.490,-0.934,-95.800,-1.672,84.200,0.000,0.000,2.000,Bang-Bang,-27.0
1.648,-55.250,-0.964,-94.390,-1.647,85.610,0.000,0.000,2.000,Bang-Bang,-25.0
1.661,-57.000,-0.995,-91.750,-1.601,88.250,0.000,0.000,2.000,Bang-Bang,-22.0
1.674,-58.580,-1.022,-88.060,-1.537,91.940,0.000,0.000,2.000,Bang-Bang,-19.0
1.686,-59.820,-1.044,-82.790,-1.445,97.210,0.000,0.000,2.000,Bang-Bang,-14.0
1.699,-60.520,-1.056,-76.810,-1.341,103.190,0.000,0.000,2.000,Bang-Bang,-10.0
1.712,-60.870,-1.062,-69.960,-1.221,110.040,0.000,0.000,2.000,Bang-Bang,-8.0
1.728,-60.170,-1.050,-60.460,-1.055,119.540,0.000,0.000,2.000,Bang-Bang,7.0
1.744,-58.580,-1.022,-49.210,-0.859,130.790,0.000,0.000,2.000,Bang-Bang,25.0
1.760,-53.840,-0.940,-31.810,-0.555,148.190,0.000,0.000,2.000,Bang-Bang,54.0
1.775,-47.160,-0.823,-14.760,-0.258,165.240,0.000,0.000,2.000,Bang-Bang,92.0
1.789,-36.960,-0.645,6.850,0.120,173.150,0.000,0.000,2.000,Bang-Bang,110.0
1.806,-29.410,-0.513,23.550,0.411,156.450,0.000,0.000,2.000,Bang-Bang,92.0
1.828,-21.500,-0.375,44.820,0.782,135.180,0.000,0.000,2.000,Bang-Bang,58.0
1.843,-16.050,-0.280,65.910,1.150,114.090,0.000,0.000,2.000,Bang-Bang,31.0
1.858,-14.290,-0.249,75.410,1.316,104.590,0.000,0.000,2.000,Bang-Bang,21.0
1.871,-12.530,-0.219,87.360,1.525,92.640,0.000,0.000,2.000,Bang-Bang,16.0
1.886,-11.650,-0.203,94.210,1.644,85.790,0.000,0.000,2.000,Bang-Bang,13.0
1.900,-10.600,-0.185,100.890,1.761,79.110,0.000,0.000,2.000,Bang-Bang,11.0
1.919,-9.370,-0.164,105.990,1.850,74.010,0.000,0.000,2.000,Bang-Bang,13.0
1.933,-7.780,-0.136,110.390,1.927,69.610,0.000,0.000,2.000,Bang-Bang,16.0
1.945,-5.850,-0.102,112.500,1.963,67.500,0.000,0.000,2.000,Bang-Bang,21.0
1.958,-4.090,-0.071,112.850,1.970,67.150,0.000,0.000,2.000,Bang-Bang,24.0
1.973,-2.160,-0.038,112.140,1.957,67.860,0.000,0.000,-2.000,Bang-Bang,28.0
1.987,0.650,0.011,109.680,1.914,70.320,0.000,0.000,-2.000,Bang-Bang,32.0
2.001,3.640,0.064,105.820,1.847,74.180,0.000,0.000,-2.000,Bang-Bang,34.0
2.014,6.450,0.113,100.540,1.755,79.460,0.000,0.000,-2.000,Bang-Bang,32.0
2.027,8.560,0.149,94.740,1.654,85.260,0.000,0.000,-2.000,Bang-Bang,27.0
2.042,10.320,0.180,88.240,1.540,91.760,0.000,0.000,-2.000,Bang-Bang,21.0
2.063,11.730,0.205,78.040,1.362,101.960,0.000,0.000,-2.000,Bang-Bang,13.0
2.079,11.900,0.208,65.210,1.138,114.790,0.000,0.000,-2.000,Bang-Bang,-6.0
2.096,9.440,0.165,46.050,0.804,133.950,0.000,0.000,-2.000,Bang-Bang,-29.0
2.114,4.870,0.085,28.820,0.503,151.180,0.000,0.000,-2.000,Bang-Bang,-68.0
2.129,-6.730,-0.117,0.700,0.012,179.300,0.000,0.000,-2.000,Bang-Bang,-115.0
2.148,-15.870,-0.277,-20.390,-0.356,159.610,0.000,0.000,-2.000,Bang-Bang,-97.0
2.172,-24.480,-0.427,-45.700,-0.798,134.300,0.000,0.000,-2.000,Bang-Bang,-56.0
2.186,-29.580,-0.516,-71.360,-1.245,108.640,0.000,0.000,2.000,Bang-Bang,-22.0
2.200,-30.810,-0.538,-82.260,-1.436,97.740,0.000,0.000,2.000,Bang-Bang,-17.0
2.216,-31.690,-0.553,-93.860,-1.638,86.140,0.000,0.000,2.000,Bang-Bang,-8.0
2.232,-31.690,-0.553,-102.830,-1.795,77.170,0.000,0.000,-2.000,Bang-Bang,8.0
2.254,-31.340,-0.547,-112.500,-1.963,67.500,0.000,0.000,-2.000,Bang-Bang,3.0
2.273,-30.110,-0.526,-121.990,-2.129,58.010,0.000,0.000,-2.000,Bang-Bang,9.0
2.287,-29.050,-0.507,-128.320,-2.240,51.680,0.000,0.000,-2.000,Bang-Bang,9.0
2.302,-28.700,-0.501,-131.480,-2.295,48.520,0.000,0.000,-2.000,Bang-Bang,6.0
2.319,-29.230,-0.510,-133.060,-2.322,46.940,0.000,0.000,2.000,Bang-Bang,-5.0
2.338,-30.460,-0.532,-132.890,-2.319,47.110,0.000,0.000,2.000,Bang-Bang,-13.0
2.354,-33.450,-0.584,-129.720,-2.264,50.280,0.000,0.000,2.000,Bang-Bang,-25.0
2.369,-35.560,-0.621,-125.850,-2.196,54.150,0.000,0.000,2.000,Bang-Bang,-25.0
2.381,-37.840,-0.660,-120.410,-2.102,59.590,0.000,0.000,2.000,Bang-Bang,-24.0
2.394,-39.420,-0.688,-115.310,-2.013,64.690,0.000,0.000,2.000,Bang-Bang,-20.0
2.407,-40.660,-0.710,-109.160,-1.905,70.840,0.000,0.000,2.000,Bang-Bang,-16.0
2.419,-41.710,-0.728,-101.950,-1.779,78.050,0.000,0.000,2.000,Bang-Bang,-13.0
2.432,-42.240,-0.737,-94.040,-1.641,85.960,0.000,0.000,2.000,Bang-Bang,-7.0
2.447,-42.060,-0.734,-85.250,-1.488,94.750,0.000,0.000,2.000,Bang-Bang,7.0
2.463,-41.010,-0.716,-72.070,-1.258,107.930,0.000,0.000,2.000,Bang-Bang,14.0
2.480,-38.550,-0.673,-59.230,-1.034,120.770,0.000,0.000,2.000,Bang-Bang,32.0
2.494,-32.220,-0.562,-37.790,-0.660,142.210,0.000,0.000,2.000,Bang-Bang,73.0
2.508,-25.190,-0.440,-21.260,-0.371,158.740,0.000,0.000,2.000,Bang-Bang,111.0
2.523,-12.000,-0.209,3.690,0.064,176.310,0.000,0.000,2.000,Bang-Bang,147.0
2.540,-0.400,-0.007,26.360,0.460,153.640,0.000,0.000,2.000,Bang-Bang,116.0
2.563,7.860,0.137,46.750,0.816,133.250,0.000,0.000,2.000,Bang-Bang,76.0
2.580,15.590,0.272,73.650,1.285,106.350,0.000,0.000,2.000,Bang-Bang,37.0
2.596,18.230,0.318,88.060,1.537,91.940,0.000,0.000,2.000,Bang-Bang,24.0
2.620,19.990,0.349,101.070,1.764,78.930,0.000,0.000,2.000,Bang-Bang,18.0
2.634,21.920,0.383,117.070,2.043,62.930,0.000,0.000,2.000,Bang-Bang,12.0
2.650,23.150,0.404,124.620,2.175,55.380,0.000,0.000,2.000,Bang-Bang,13.0
2.663,24.380,0.426,130.600,2.279,49.400,0.000,0.000,2.000,Bang-Bang,16.0
2.675,26.320,0.459,135.870,2.371,44.130,0.000,0.000,2.000,Bang-Bang,21.0
2.688,28.250,0.493,138.690,2.421,41.310,0.000,0.000,2.000,Bang-Bang,27.0
2.700,30.890,0.539,140.620,2.454,39.380,0.000,0.000,-2.000,Bang-Bang,35.0
2.714,33.880,0.591,141.320,2.466,38.680,0.000,0.000,-2.000,Bang-Bang,41.0
2.728,37.920,0.662,140.800,2.457,39.200,0.000,0.000,-2.000,Bang-Bang,49.0
2.743,41.610,0.726,139.210,2.430,40.790,0.000,0.000,-2.000,Bang-Bang,48.0
2.756,45.830,0.800,136.230,2.378,43.770,0.000,0.000,-2.000,Bang-Bang,46.0
2.769,49.700,0.867,132.710,2.316,47.290,0.000,0.000,-2.000,Bang-Bang,44.0
2.782,52.860,0.923,128.490,2.243,51.510,0.000,0.000,-2.000,Bang-Bang,40.0
2.794,55.670,0.972,124.100,2.166,55.900,0.000,0.000,-2.000,Bang-Bang,37.0
2.806,58.490,1.021,117.940,2.058,62.060,0.000,0.000,-2.000,Bang-Bang,32.0
2.818,60.420,1.055,111.970,1.954,68.030,0.000,0.000,-2.000,Bang-Bang,27.0
2.830,62.000,1.082,104.940,1.832,75.060,0.000,0.000,-2.000,Bang-Bang,23.0
2.843,63.230,1.104,97.380,1.700,82.620,0.000,0.000,-2.000,Bang-Bang,16.0
2.857,63.760,1.113,88.760,1.549,91.240,0.000,0.000,-2.000,Bang-Bang,11.0
2.870,63.580,1.110,76.460,1.334,103.540,0.000,0.000,-2.000,Bang-Bang,-6.0
2.886,62.350,1.088,65.210,1.138,114.790,0.000,0.000,-2.000,Bang-Bang,-18.0
2.901,58.490,1.021,47.280,0.825,132.720,0.000,0.000,-2.000,Bang-Bang,-49.0
2.913,52.160,0.910,28.650,0.500,151.350,0.000,0.000,-2.000,Bang-Bang,-90.0
2.927,42.840,0.748,8.610,0.150,171.390,0.000,0.000,-2.000,Bang-Bang,-138.0
2.943,32.120,0.561,-11.950,-0.209,168.050,0.000,0.000,-2.000,Bang-Bang,-137.0
2.959,20.520,0.358,-38.140,-0.666,141.860,0.000,0.000,-2.000,Bang-Bang,-89.0
2.976,14.720,0.257,-56.420,-0.985,123.580,0.000,0.000,-2.000,Bang-Bang,-56.0
2.991,10.320,0.180,-75.230,-1.313,104.770,0.000,0.000,-2.000,Bang-Bang,-33.0
3.005,8.040,0.140,-89.820,-1.568,90.180,0.000,0.000,-2.000,Bang-Bang,-22.0
3.021,6.810,0.119,-101.770,-1.776,78.230,0.000,0.000,-2.000,Bang-Bang,-15.0
3.036,5.750,0.100,-113.900,-1.988,66.100,0.000,0.000,-2.000,Bang-Bang,-11.0
3.051,5.050,0.088,-123.040,-2.147,56.960,0.000,0.000,-2.000,Bang-Bang,-9.0
3.065,3.990,0.070,-132.180,-2.307,47.820,0.000,0.000,-2.000,Bang-Bang,-10.0
3.081,2.590,0.045,-139.040,-2.427,40.960,0.000,0.000,-2.000,Bang-Bang,-15.0
3.098,0.650,0.011,-144.140,-2.516,35.860,0.000,0.000,-2.000,Bang-Bang,-24.0
3.110,-2.690,-0.047,-148.350,-2.589,31.650,0.000,0.000,-2.000,Bang-Bang,-34.0
3.127,-6.030,-0.105,-150.110,-2.620,29.890,0.000,0.000,-2.000,Bang-Bang,-44.0
3.140,-10.950,-0.191,-150.460,-2.626,29.540,0.000,0.000,-2.000,Bang-Bang,-56.0
3.160,-16.220,-0.283,-148.880,-2.598,31.120,0.000,0.000,2.000,Bang-Bang,-65.0
3.175,-24.310,-0.424,-144.490,-2.522,35.510,0.000,0.000,2.000,Bang-Bang,-74.0
3.189,-31.510,-0.550,-138.860,-2.424,41.140,0.000,0.000,2.000,Bang-Bang,-79.0
3.202,-38.370,-0.670,-132.010,-2.304,47.990,0.000,0.000,2.000,Bang-Bang,-74.0
3.215,-43.290,-0.756,-125.850,-2.196,54.150,0.000,0.000,2.000,Bang-Bang,-69.0
3.227,-48.390,-0.845,-118.120,-2.062,61.880,0.000,0.000,2.000,Bang-Bang,-61.0
3.241,-52.430,-0.915,-110.210,-1.924,69.790,0.000,0.000,2.000,Bang-Bang,-53.0
3.256,-56.480,-0.986,-99.840,-1.743,80.160,0.000,0.000,2.000,Bang-Bang,-42.0
3.276,-59.290,-1.035,-89.290,-1.558,90.710,0.000,0.000,2.000,Bang-Bang,-32.0
3.291,-61.570,-1.075,-70.830,-1.236,109.170,0.000,0.000,2.000,Bang-Bang,-18.0
3.308,-61.220,-1.068,-53.780,-0.939,126.220,0.000,0.000,2.000,Bang-Bang,5.0
3.329,-57.710,-1.007,-32.510,-0.567,147.490,0.000,0.000,2.000,Bang-Bang,52.0
3.345,-46.100,-0.805,1.750,0.031,178.250,0.000,0.000,2.000,Bang-Bang,114.0
3.362,-36.440,-0.636,28.300,0.494,151.700,0.000,0.000,2.000,Bang-Bang,83.0
3.379,-30.990,-0.541,50.970,0.890,129.030,0.000,0.000,2.000,Bang-Bang,42.0
3.392,-28.530,-0.498,73.120,1.276,106.880,0.000,0.000,2.000,Bang-Bang,16.0
3.407,-28.350,-0.495,86.130,1.503,93.870,0.000,0.000,2.000,Bang-Bang,10.0
3.422,-29.050,-0.507,100.890,1.761,79.110,0.000,0.000,2.000,Bang-Bang,-6.0
3.440,-30.640,-0.535,113.900,1.988,66.100,0.000,0.000,2.000,Bang-Bang,-16.0
3.456,-32.750,-0.572,126.030,2.200,53.970,0.000,0.000,2.000,Bang-Bang,-21.0
3.471,-35.030,-0.611,137.630,2.402,42.370,0.000,0.000,2.000,Bang-Bang,-23.0
3.485,-36.790,-0.642,144.840,2.528,35.160,0.000,0.000,2.000,Bang-Bang,-21.0
3.498,-38.550,-0.673,153.100,2.672,26.900,0.000,0.000,2.000,Bang-Bang,-18.0
3.511,-39.250,-0.685,158.020,2.758,21.980,0.000,0.000,2.000,Bang-Bang,-10.0
3.524,-39.600,-0.691,162.590,2.838,17.410,0.000,0.000,2.000,Bang-Bang,-8.0
3.539,-39.250,-0.685,165.760,2.893,14.240,0.000,0.000,2.000,Bang-Bang,4.0
3.561,-38.020,-0.664,168.220,2.936,11.780,0.000,0.000,1.090,LQR,14.0
3.575,-34.680,-0.605,169.800,2.964,10.200,0.000,0.000,2.000,LQR,31.0
3.590,-31.340,-0.547,169.450,2.957,10.550,0.000,0.000,-1.569,LQR,39.0
3.610,-27.300,-0.476,168.040,2.933,11.960,0.000,0.000,-2.000,LQR,46.0
3.623,-20.970,-0.366,164.530,2.872,15.470,0.000,0.000,-2.000,LQR,56.0
3.636,-16.750,-0.292,161.360,2.816,18.640,0.000,0.000,-2.000,LQR,54.0
3.649,-12.880,-0.225,158.200,2.761,21.800,0.000,0.000,-2.000,LQR,51.0
3.663,-9.010,-0.157,154.510,2.697,25.490,0.000,0.000,-2.000,LQR,47.0
3.678,-5.500,-0.096,150.820,2.632,29.180,0.000,0.000,-2.000,LQR,42.0
3.691,-1.810,-0.032,145.540,2.540,34.460,0.000,0.000,-2.000,LQR,38.0
3.707,0.830,0.014,141.150,2.464,38.850,0.000,0.000,1.520,Energy,34.0
3.724,3.990,0.070,134.120,2.341,45.880,0.000,0.000,1.455,Energy,28.0
3.738,6.450,0.113,126.380,2.206,53.620,0.000,0.000,1.435,Energy,24.0
3.751,8.560,0.149,118.300,2.065,61.700,0.000,0.000,1.353,Energy,22.0
3.763,9.970,0.174,110.740,1.933,69.260,0.000,0.000,1.590,Energy,20.0
3.777,11.380,0.199,101.250,1.767,78.750,0.000,0.000,1.516,Energy,17.0
3.791,12.250,0.214,90.520,1.580,89.480,0.000,0.000,1.517,Energy,12.0
3.809,12.780,0.223,79.100,1.381,100.900,0.000,0.000,-1.969,Energy,9.0
3.827,11.730,0.205,60.460,1.055,119.540,0.000,0.000,-1.536,Energy,-9.0
3.844,8.040,0.140,38.320,0.669,141.680,0.000,0.000,-0.367,Energy,-45.0
3.863,1.530,0.027,17.220,0.301,162.780,0.000,0.000,-1.943,Energy,-94.0
3.876,-12.350,-0.216,-18.100,-0.316,161.900,0.000,0.000,2.000,Energy,-99.0
3.894,-18.160,-0.317,-36.210,-0.632,143.790,0.000,0.000,-1.775,Energy,-66.0
3.909,-22.550,-0.394,-58.180,-1.015,121.820,0.000,0.000,-0.306,Energy,-29.0
3.923,-23.780,-0.415,-74.170,-1.295,105.830,0.000,0.000,-1.101,Energy,-12.0
3.935,-23.600,-0.412,-87.530,-1.528,92.470,0.000,0.000,-1.050,Energy,4.0
3.951,-22.550,-0.394,-98.260,-1.715,81.740,0.000,0.000,1.599,Energy,11.0
3.968,-20.970,-0.366,-109.680,-1.914,70.320,0.000,0.000,1.389,Energy,18.0
3.984,-18.860,-0.329,-120.050,-2.095,59.950,0.000,0.000,1.441,Energy,22.0
3.997,-15.870,-0.277,-129.900,-2.267,50.100,0.000,0.000,1.017,Energy,27.0
4.009,-13.760,-0.240,-135.700,-2.368,44.300,0.000,0.000,1.373,Energy,30.0
4.021,-11.480,-0.200,-140.800,-2.457,39.200,0.000,0.000,1.425,Energy,32.0
4.033,-8.840,-0.154,-145.890,-2.546,34.110,0.000,0.000,1.344,Energy,33.0
4.046,-6.550,-0.114,-149.580,-2.611,30.420,0.000,0.000,1.438,Energy,33.0
4.059,-3.920,-0.068,-153.280,-2.675,26.720,0.000,0.000,1.398,Energy,33.0
4.072,-1.460,-0.025,-156.260,-2.727,23.740,0.000,0.000,1.423,Energy,32.0
4.085,1.000,0.017,-158.730,-2.770,21.270,0.000,0.000,1.423,Energy,32.0
4.099,3.470,0.061,-160.660,-2.804,19.340,0.000,0.000,1.437,Energy,31.0
4.114,6.100,0.106,-162.420,-2.835,17.580,0.000,0.000,1.432,Energy,30.0
4.128,8.740,0.153,-163.470,-2.853,16.530,0.000,0.000,1.438,Energy,29.0
4.143,11.020,0.192,-164.000,-2.862,16.000,0.000,0.000,1.441,Energy,29.0
4.160,13.840,0.242,-164.350,-2.868,15.650,0.000,0.000,1.440,Energy,28.0
4.173,16.470,0.287,-163.820,-2.859,16.180,0.000,0.000,-1.441,Energy,27.0
4.189,18.760,0.327,-163.120,-2.847,16.880,0.000,0.000,-1.443,Energy,26.0
4.202,21.220,0.370,-161.540,-2.819,18.460,0.000,0.000,-1.434,Energy,25.0
4.215,22.800,0.398,-159.430,-2.783,20.570,0.000,0.000,-1.437,Energy,21.0
4.228,23.680,0.413,-156.090,-2.724,23.910,0.000,0.000,-1.402,Energy,12.0
4.240,24.030,0.419,-151.690,-2.647,28.310,0.000,0.000,-1.381,Energy,7.0
