Time(s),Motor_Angle(deg),Motor_Angle(rad),Pendulum_Angle(deg),Pendulum_Angle(rad),Pendulum_Angle_From_Upright(deg),Motor_Velocity(rad/s),Pendulum_Velocity(rad/s),Motor_Voltage(V),Controller_Mode,Motor_RPM
0.070,-15.870,-0.277,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.147,-15.870,-0.277,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.230,-15.870,-0.277,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.324,-15.870,-0.277,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.392,-15.870,-0.277,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.454,-15.870,-0.277,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.523,-15.870,-0.277,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.598,-15.870,-0.277,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.670,-16.050,-0.280,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.734,-16.050,-0.280,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.796,-16.050,-0.280,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.858,-16.050,-0.280,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.921,-16.050,-0.280,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
0.987,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.060,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.133,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.209,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.294,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.368,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.439,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.509,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.579,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.644,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.712,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.775,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.837,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.903,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,0.000,Emergency,0.0
1.972,-16.220,-0.283,0.520,0.009,179.480,0.000,0.000,-8.000,Bang-Bang,0.0
2.050,-17.450,-0.305,-1.050,-0.018,178.950,0.000,0.000,-8.000,Bang-Bang,-21.0
2.127,-18.160,-0.317,-1.930,-0.034,178.070,0.000,0.000,8.000,Bang-Bang,33.0
2.210,-26.420,-0.461,-8.960,-0.156,171.040,0.000,0.000,-8.000,Bang-Bang,-68.0
2.291,-71.420,-1.247,-51.500,-0.899,128.500,0.000,0.000,8.000,Bang-Bang,-54.0
2.358,-71.590,-1.249,-45.350,-0.792,134.650,0.000,0.000,8.000,Bang-Bang,49.0
2.425,-15.690,-0.274,18.980,0.331,161.020,0.000,0.000,8.000,Bang-Bang,204.0
2.504,55.320,0.966,113.550,1.982,66.450,0.000,0.000,-8.000,Bang-Bang,122.0
2.578,91.710,1.601,165.760,2.893,14.240,0.000,0.000,-8.000,Bang-Bang,38.0
2.657,86.080,1.502,256.810,4.482,76.810,0.000,0.000,-8.000,Energy,19.0
2.738,133.190,2.325,368.960,6.440,171.040,0.000,0.000,-8.000,Energy,-222.0
2.809,67.630,1.180,344.700,6.016,164.700,0.000,0.000,-8.000,Energy,-221.0
2.878,-14.460,-0.252,274.920,4.798,94.920,0.000,0.000,1.541,Energy,-144.0
2.946,-66.320,-1.158,230.620,4.025,50.620,0.000,0.000,8.000,Energy,-126.0
3.009,-111.140,-1.940,230.620,4.025,50.620,0.000,0.000,8.000,Energy,-92.0
3.076,-132.410,-2.311,248.020,4.329,68.020,0.000,0.000,8.000,Energy,-20.0
3.143,-121.160,-2.115,284.230,4.961,104.230,0.000,0.000,8.000,Energy,68.0
3.224,-36.960,-0.645,376.340,6.568,163.660,0.000,0.000,-3.154,Energy,291.0
3.304,46.000,0.803,495.520,8.648,44.480,0.000,0.000,-2.370,Energy,92.0
3.394,77.290,1.349,608.020,10.612,68.020,0.000,0.000,-8.000,Energy,41.0
3.471,131.610,2.297,727.380,12.695,172.620,0.000,0.000,-8.000,Energy,-156.0
3.541,59.720,1.042,680.620,11.879,140.620,0.000,0.000,-8.000,Energy,-188.0
3.614,-10.770,-0.188,615.050,10.735,75.050,0.000,0.000,1.281,Energy,-136.0
3.689,-71.420,-1.247,594.840,10.382,54.840,0.000,0.000,8.000,Energy,-147.0
3.768,-124.850,-2.179,635.800,11.097,95.800,0.000,0.000,8.000,Energy,-55.0
3.841,-103.410,-1.805,733.000,12.793,167.000,0.000,0.000,8.000,Energy,160.0
3.925,-65.970,-1.151,859.390,14.999,40.610,0.000,0.000,8.000,Energy,39.0
4.006,-11.300,-0.197,913.350,15.941,13.350,0.000,0.000,8.000,LQR,178.0
4.098,73.430,1.282,966.970,16.877,66.970,0.000,0.000,-8.000,Energy,178.0
4.174,6.630,0.116,1047.120,18.276,147.120,0.000,0.000,-0.673,Energy,-1119.0
4.281,-446.360,-7.790,1064.530,18.580,164.530,0.000,0.000,8.000,Energy,931.0
4.356,90.300,1.576,1059.430,18.491,159.430,1.850,-0.034,0.000,Emergency,977.0
4.430,218.080,3.806,1038.690,18.129,138.690,2.370,-0.119,0.000,Emergency,21.0
4.497,212.990,3.717,1051.690,18.355,151.690,2.349,-0.066,0.000,Emergency,-33.0
4.560,210.350,3.671,1074.370,18.751,174.370,2.338,0.026,0.000,Emergency,-3.0
4.623,207.540,3.622,1099.680,19.193,160.320,2.327,0.129,0.000,Emergency,-13.0
4.684,197.170,3.441,1108.820,19.353,151.180,2.285,0.166,0.000,Emergency,-36.0
4.747,179.410,3.131,1100.560,19.208,159.440,2.212,0.133,0.000,Emergency,-55.0
4.808,156.210,2.726,1079.820,18.846,179.820,2.118,0.049,0.000,Emergency,-66.0
4.870,135.300,2.361,1061.540,18.527,161.540,2.033,-0.026,0.000,Emergency,-46.0
4.931,122.650,2.141,1058.370,18.472,158.370,1.982,-0.039,0.000,Emergency,-25.0
4.992,117.720,2.055,1071.380,18.699,171.380,1.962,0.014,0.000,Emergency,-7.0
5.056,116.840,2.039,1092.830,19.073,167.170,1.958,0.101,0.000,Emergency,-1.0
5.120,111.920,1.953,1104.430,19.276,155.570,1.938,0.149,0.000,Emergency,-20.0
5.183,100.850,1.760,1099.680,19.193,160.320,1.893,0.129,0.000,Emergency,-35.0
5.256,82.920,1.447,1080.000,18.850,180.000,1.820,0.049,0.000,Emergency,-44.0
5.321,69.210,1.208,1064.880,18.586,164.880,1.764,-0.012,0.000,Emergency,-23.0
5.390,64.990,1.134,1067.340,18.629,167.340,1.747,-0.002,0.000,Emergency,-3.0
5.458,68.500,1.196,1083.690,18.914,176.310,1.761,0.064,0.000,Emergency,11.0
5.522,70.790,1.236,1097.400,19.153,162.600,1.771,0.120,0.000,Emergency,3.0
5.591,67.100,1.171,1097.050,19.147,162.950,1.756,0.119,0.000,Emergency,-13.0
5.663,57.960,1.012,1082.630,18.895,177.370,1.719,0.060,0.000,Emergency,-22.0
5.726,51.810,0.904,1070.850,18.690,170.850,1.694,0.012,0.000,Emergency,-11.0
5.801,53.040,0.926,1071.560,18.702,171.560,1.699,0.015,0.000,Emergency,9.0
5.867,59.540,1.039,1082.460,18.892,177.540,1.725,0.059,0.000,Emergency,17.0
5.937,64.640,1.128,1091.420,19.049,168.580,1.746,0.096,0.000,Emergency,8.0
6.005,64.460,1.125,1089.310,19.012,170.690,1.745,0.087,0.000,Emergency,-2.0
6.072,61.120,1.067,1079.820,18.846,179.820,1.731,0.049,0.000,Emergency,-8.0
6.143,59.890,1.045,1072.790,18.724,172.790,1.726,0.020,0.000,Emergency,3.0
6.226,64.110,1.119,1075.780,18.776,175.780,1.744,0.032,0.000,Emergency,12.0
6.294,69.910,1.220,1083.690,18.914,176.310,1.767,0.064,0.000,Emergency,12.0
6.364,72.550,1.266,1086.850,18.969,173.150,1.778,0.077,0.000,Emergency,5.0
6.437,71.490,1.248,1082.630,18.895,177.370,1.774,0.060,0.000,Emergency,-2.0
6.508,69.740,1.217,1076.660,18.791,176.660,1.767,0.036,0.000,Emergency,-3.0
6.572,70.440,1.229,1075.600,18.773,175.600,1.769,0.031,0.000,Emergency,2.0
6.633,72.550,1.266,1078.240,18.819,178.240,1.778,0.042,0.000,Emergency,6.0
6.701,74.830,1.306,1082.460,18.892,177.540,1.787,0.059,0.000,Emergency,5.0
6.768,75.360,1.315,1083.860,18.917,176.140,1.789,0.065,0.000,Emergency,2.0
6.837,73.950,1.291,1081.750,18.880,178.250,1.784,0.056,0.000,Emergency,-3.0
6.906,72.550,1.266,1079.120,18.834,179.120,1.778,0.046,0.000,Emergency,-3.0
6.979,72.370,1.263,1078.590,18.825,178.590,1.777,0.044,0.000,Emergency,2.0
7.044,72.900,1.272,1079.820,18.846,179.820,1.779,0.049,0.000,Emergency,1.0
7.120,72.200,1.260,1080.700,18.862,179.300,1.777,0.052,0.000,Emergency,0.0
