Time(s),Motor_Angle(deg),Motor_Angle(rad),Pendulum_Angle(deg),Pendulum_Angle(rad),Pendulum_Angle_From_Upright(deg),Motor_Velocity(rad/s),Pendulum_Velocity(rad/s),Motor_Voltage(V),Controller_Mode,Motor_RPM
0.018,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.036,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.052,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.066,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.080,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.099,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.113,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.126,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.142,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.156,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.174,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.190,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.204,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.218,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.232,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.250,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.265,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.278,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.291,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.304,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.318,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.331,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.344,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.357,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.369,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.383,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,0.000,Emergency,0.0
0.410,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,-2.000,Bang-Bang,0.0
0.426,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,-2.000,Bang-Bang,0.0
0.440,-8.490,-0.148,0.700,0.012,179.300,0.000,0.000,-2.000,Bang-Bang,0.0
0.454,-8.840,-0.154,0.350,0.006,179.650,0.000,0.000,-2.000,Bang-Bang,0.0
0.468,-9.720,-0.170,-0.350,-0.006,179.650,0.000,0.000,-2.000,Bang-Bang,0.0
0.485,-11.120,-0.194,-1.930,-0.034,178.070,0.000,0.000,-2.000,Bang-Bang,-16.0
0.504,-13.580,-0.237,-4.210,-0.073,175.790,0.000,0.000,-2.000,Bang-Bang,-25.0
0.521,-16.750,-0.292,-7.200,-0.126,172.800,0.000,0.000,-2.000,Bang-Bang,-30.0
0.535,-20.260,-0.354,-10.370,-0.181,169.630,0.000,0.000,-2.000,Bang-Bang,-34.0
0.553,-23.430,-0.409,-12.830,-0.224,167.170,0.000,0.000,-2.000,Bang-Bang,-36.0
0.568,-27.300,-0.476,-15.460,-0.270,164.540,0.000,0.000,-2.000,Bang-Bang,-38.0
0.585,-30.990,-0.541,-17.570,-0.307,162.430,0.000,0.000,2.000,Bang-Bang,-38.0
0.654,-35.210,-0.615,-19.510,-0.341,160.490,0.000,0.000,2.000,Bang-Bang,-39.0
0.669,-50.670,-0.884,-20.030,-0.350,159.970,0.000,0.000,2.000,Bang-Bang,-38.0
0.684,-53.840,-0.940,-17.920,-0.313,162.080,0.000,0.000,2.000,Bang-Bang,-28.0
0.698,-55.420,-0.967,-14.060,-0.245,165.940,0.000,0.000,2.000,Bang-Bang,-15.0
