Time(s),Motor_Angle(deg),Motor_Angle(rad),Pendulum_Angle(deg),Pendulum_Angle(rad),Pendulum_Angle_From_Upright(deg),Motor_Velocity(rad/s),Pendulum_Velocity(rad/s),Motor_Voltage(V),Controller_Mode,Motor_RPM
0.013,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.027,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.041,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.053,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.066,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.079,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.091,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.104,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.117,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.132,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.146,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.161,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.174,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.188,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.202,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.217,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.230,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.246,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.259,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.275,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.291,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.305,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.318,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.331,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.342,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.354,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.366,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.378,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.391,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.404,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.416,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.428,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.442,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.455,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.467,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.479,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.491,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.504,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.536,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.550,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.564,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.577,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.590,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.602,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.615,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.627,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.639,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.651,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.664,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.678,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.691,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.704,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.720,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.733,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.745,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.757,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.769,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.782,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.794,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,0.000,Emergency,0.0
0.810,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,2.000,Bang-Bang,0.0
0.823,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,-2.000,Bang-Bang,0.0
0.837,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,-2.000,Bang-Bang,0.0
0.849,-40.300,-0.703,361.050,6.302,178.950,0.000,0.000,2.000,Bang-Bang,0.0
0.863,-40.130,-0.700,361.230,6.305,178.770,0.000,0.000,2.000,Bang-Bang,0.0
0.875,-40.480,-0.707,360.870,6.298,179.130,0.000,0.000,2.000,Bang-Bang,0.0
0.887,-40.660,-0.710,360.700,6.295,179.300,0.000,0.000,2.000,Bang-Bang,-4.0
0.901,-40.480,-0.707,360.700,6.295,179.300,0.000,0.000,-2.000,Bang-Bang,4.0
0.917,-39.950,-0.697,361.400,6.308,178.600,0.000,0.000,2.000,Bang-Bang,4.0
0.931,-38.550,-0.673,362.810,6.332,177.190,0.000,0.000,2.000,Bang-Bang,15.0
0.944,-37.490,-0.654,363.690,6.348,176.310,0.000,0.000,2.000,Bang-Bang,13.0
0.957,-36.610,-0.639,364.570,6.363,175.430,0.000,0.000,2.000,Bang-Bang,10.0
