Time(s),Motor_Angle(deg),Motor_Angle(rad),Pendulum_Angle(deg),Pendulum_Angle(rad),Pendulum_Angle_From_Upright(deg),Motor_Velocity(rad/s),Pendulum_Velocity(rad/s),Motor_Voltage(V),Controller_Mode,Motor_RPM
0.024,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.039,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.053,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.066,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.082,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.098,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.121,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.137,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.151,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.166,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.178,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.192,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.205,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.220,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.232,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.244,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.256,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.268,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
0.282,-5.320,-0.093,0.350,0.006,179.650,0.000,0.000,0.000,Emergency,0.0
