Time(s),Motor_Angle(deg),Motor_Angle(rad),Pendulum_Angle(deg),Pendulum_Angle(rad),Pendulum_Angle_From_Upright(deg),Motor_Velocity(rad/s),Pendulum_Velocity(rad/s),Motor_Voltage(V),Controller_Mode,Motor_RPM
0.113,86.430,1.508,-346.810,-6.053,166.810,0.000,0.000,-2.000,Energy,4.0
0.193,68.330,1.193,-366.320,-6.393,173.680,0.000,0.000,-2.000,Energy,-58.0
0.268,42.670,0.745,-391.640,-6.835,148.360,0.000,0.000,0.003,Energy,-54.0
0.338,26.140,0.456,-394.270,-6.881,145.730,0.000,0.000,-0.005,Energy,-26.0
0.413,20.870,0.364,-370.010,-6.458,169.990,0.000,0.000,-0.674,Energy,-4.0
0.495,16.650,0.291,-333.800,-5.826,153.800,0.000,0.000,0.005,Energy,-23.0
0.615,-16.050,-0.280,-338.200,-5.903,158.200,0.000,0.000,-0.006,Energy,-62.0
0.688,-47.330,-0.826,-364.920,-6.369,175.080,0.000,0.000,0.604,Energy,-61.0
0.753,-63.680,-1.111,-374.760,-6.541,165.240,0.000,0.000,2.000,Energy,-25.0
0.829,-61.400,-1.072,-358.240,-6.252,178.240,0.000,0.000,2.000,Energy,25.0
0.894,-50.500,-0.881,-333.280,-5.817,153.280,0.000,0.000,0.005,Energy,22.0
0.966,-47.860,-0.835,-329.410,-5.749,149.410,0.000,0.000,-0.005,Energy,-3.0
1.042,-55.250,-0.964,-351.910,-6.142,171.910,0.000,0.000,0.627,Energy,-23.0
1.115,-60.170,-1.050,-375.990,-6.562,164.010,0.000,0.000,0.007,Energy,5.0
1.187,-47.690,-0.832,-372.650,-6.504,167.350,0.000,0.000,-0.007,Energy,38.0
1.253,-30.280,-0.528,-357.710,-6.243,177.710,0.000,0.000,0.007,Energy,43.0
1.321,-16.220,-0.283,-346.640,-6.050,166.640,0.000,0.000,0.007,Energy,26.0
1.388,-10.070,-0.176,-349.450,-6.099,169.450,0.000,0.000,-0.007,Energy,10.0
1.460,-9.720,-0.170,-363.510,-6.344,176.490,0.000,0.000,0.007,Energy,-1.0
1.525,-8.490,-0.148,-374.230,-6.532,165.770,0.000,0.000,0.007,Energy,3.0
1.594,-2.510,-0.044,-372.300,-6.498,167.700,0.000,0.000,-0.007,Energy,19.0
1.658,6.280,0.110,-361.230,-6.305,178.770,0.000,0.000,-0.007,Energy,23.0
1.724,13.310,0.232,-351.030,-6.127,171.030,0.000,0.000,0.007,Energy,13.0
1.795,13.840,0.242,-351.730,-6.139,171.730,0.000,0.000,-0.007,Energy,-3.0
1.862,9.440,0.165,-361.580,-6.311,178.420,0.000,0.000,0.007,Energy,-12.0
1.933,5.400,0.094,-369.840,-6.455,170.160,0.000,0.000,0.007,Energy,-7.0
2.001,5.750,0.100,-368.260,-6.427,171.740,0.000,0.000,-0.007,Energy,2.0
2.068,8.560,0.149,-360.000,-6.283,180.000,0.000,0.000,0.000,Energy,7.0
