time,angle,position,pendulum_angle,unwrapped_pendulum_angle,voltage
9,180.0,0.0,0.0,0.0,0.0
19,179.65,0.0,-0.35000000000002274,-0.35000000000002274,-0.31
29,179.12,0.0,-0.8799999999999955,-0.8799999999999955,-0.57
39,178.59,-1.0,-1.4099999999999682,-1.4099999999999682,-0.71
49,178.24,-1.0,-1.759999999999991,-1.759999999999991,-0.59
59,177.89,-1.0,-2.1100000000000136,-2.110000000000014,-0.51
69,177.71,-2.0,-2.2899999999999636,-2.2899999999999636,-0.36
79,177.89,-2.0,-2.1100000000000136,-2.110000000000014,0.01
89,178.07,-2.0,-1.9300000000000068,-1.9300000000000068,0.16
99,178.59,-1.0,-1.4099999999999682,-1.4099999999999682,0.48
109,178.95,-1.0,-1.0500000000000114,-1.0500000000000114,0.49
119,179.47,-1.0,-0.5299999999999727,-0.5299999999999727,0.61
129,179.82,-1.0,-0.18000000000000682,-0.18000000000000682,0.51
139,180.0,-1.0,0.0,0.0,0.32
149,-179.82,-1.0,0.18000000000000682,0.18000000000000682,0.05
159,-179.65,-1.0,0.35000000000002274,0.35000000000002274,0.11
169,-179.65,-1.0,0.35000000000002274,0.35000000000002274,0.05
180,-179.65,-1.0,0.35000000000002274,0.35000000000002274,0.02
190,-179.65,-1.0,0.35000000000002274,0.35000000000002274,0.01
200,-179.47,-1.0,0.5299999999999727,0.5299999999999727,0.17
210,-179.3,-1.0,0.6999999999999886,0.6999999999999886,0.26
220,-179.12,-1.0,0.8799999999999955,0.8799999999999955,0.24
230,-178.77,-1.0,1.2300000000000182,1.2300000000000182,0.38
240,-178.59,-1.0,1.4099999999999682,1.4099999999999682,0.31
250,-178.24,-1.0,1.759999999999991,1.759999999999991,0.41
260,-178.24,-1.0,1.759999999999991,1.759999999999991,0.18
270,-178.07,-1.0,1.9300000000000068,1.9300000000000068,0.21
280,-178.07,-1.0,1.9300000000000068,1.9300000000000068,0.1
290,-178.24,-1.0,1.759999999999991,1.759999999999991,-0.15
300,-178.24,-1.0,1.759999999999991,1.759999999999991,-0.07
310,-178.24,-1.0,1.759999999999991,1.759999999999991,-0.03
320,-178.24,-1.0,1.759999999999991,1.759999999999991,-0.01
330,-178.24,-1.0,1.759999999999991,1.759999999999991,-0.01
340,-178.24,-1.0,1.759999999999991,1.759999999999991,-0.0
350,-178.24,-1.0,1.759999999999991,1.759999999999991,-0.0
360,-178.42,-2.0,1.580000000000041,1.580000000000041,-0.1
370,-178.59,-2.0,1.4099999999999682,1.4099999999999682,-0.17
380,-178.95,-2.0,1.0500000000000114,1.0500000000000114,-0.36
390,-179.12,-2.0,0.8799999999999955,0.8799999999999955,-0.33
400,-179.47,-2.0,0.5299999999999727,0.5299999999999727,-0.4
410,180.0,-2.0,0.0,0.0,-0.22
420,179.82,-3.0,-0.18000000000000682,-0.18000000000000682,-0.24
430,179.3,-3.0,-0.6999999999999886,-0.6999999999999886,-0.49
440,178.95,-3.0,-1.0500000000000114,-1.0500000000000114,-0.46
450,178.42,-4.0,-1.580000000000041,-1.580000000000041,-0.59
460,178.07,-4.0,-1.9300000000000068,-1.9300000000000068,-0.58
470,177.71,-4.0,-2.2899999999999636,-2.2899999999999636,-0.55
480,177.54,-4.0,-2.4600000000000364,-2.4600000000000364,-0.38
490,177.19,-5.0,-2.8100000000000023,-2.8100000000000023,0.09
500,177.19,-5.0,-2.8100000000000023,-2.8100000000000023,0.04
510,177.19,-5.0,-2.8100000000000023,-2.8100000000000023,0.02
520,177.36,-5.0,-2.6399999999999864,-2.6399999999999864,-0.13
530,177.71,-5.0,-2.2899999999999636,-2.2899999999999636,0.2
540,178.07,-4.0,-1.9300000000000068,-1.9300000000000068,0.39
550,178.59,-4.0,-1.4099999999999682,-1.4099999999999682,0.57
560,179.3,-4.0,-0.6999999999999886,-0.6999999999999886,0.8
570,180.0,-3.0,0.0,0.0,0.87
580,-179.12,-2.0,0.8799999999999955,0.8799999999999955,0.87
590,-177.89,-2.0,2.1100000000000136,2.110000000000014,1.33
600,-176.66,-1.0,3.340000000000032,3.340000000000032,0.41
610,-175.25,0.0,4.75,4.75,1.29
620,-174.02,1.0,5.980000000000018,5.980000000000018,0.3
630,-172.62,2.0,7.3799999999999955,7.3799999999999955,1.22
640,-171.39,3.0,8.610000000000014,8.610000000000014,1.54
650,-170.33,4.0,9.669999999999959,9.669999999999959,0.24
660,-169.1,6.0,10.899999999999977,10.899999999999977,1.04
670,-168.22,7.0,11.779999999999973,11.779999999999973,-0.04
681,-167.7,8.0,12.300000000000011,12.300000000000011,0.36
691,-167.17,9.0,12.830000000000041,12.830000000000041,0.53
701,-166.99,10.0,13.009999999999991,13.009999999999991,0.34
711,-166.99,11.0,13.009999999999991,13.009999999999991,0.15
721,-167.34,12.0,12.659999999999968,12.659999999999968,-0.22
731,-168.05,12.0,11.949999999999989,11.949999999999989,-0.66
741,-168.93,13.0,11.069999999999993,11.069999999999993,0.04
751,-170.33,13.0,9.669999999999959,9.669999999999959,-1.09
761,-171.91,13.0,8.090000000000032,8.090000000000032,-0.6
771,-173.67,13.0,6.330000000000041,6.330000000000041,-1.66
781,-175.96,13.0,4.039999999999964,4.039999999999964,-1.26
