Time(s),Motor_Angle(deg),Motor_Angle(rad),Pendulum_Angle(deg),Pendulum_Angle(rad),Pendulum_Angle_From_Upright(deg),Motor_Velocity(rad/s),Pendulum_Velocity(rad/s),Motor_Voltage(V),Controller_Mode,Motor_RPM
0.093,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.176,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.253,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.329,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.411,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.542,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.629,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.701,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.765,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.838,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.909,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
0.982,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
1.056,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
1.130,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
1.206,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
1.276,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
1.344,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
1.410,-32.040,-0.559,-359.120,-6.268,179.120,0.000,0.000,0.000,Energy,0.0
1.485,-32.040,-0.559,-359.290,-6.271,179.290,0.000,0.000,-0.007,Energy,0.0
1.573,-32.040,-0.559,-359.290,-6.271,179.290,0.000,0.000,0.000,Energy,0.0
1.643,-32.040,-0.559,-359.290,-6.271,179.290,0.000,0.000,0.000,Energy,0.0
