Time(s),Motor_Angle(deg),Motor_Angle(rad),Pendulum_Angle(deg),Pendulum_Angle(rad),Pendulum_Angle_From_Upright(deg),Motor_Velocity(rad/s),Pendulum_Velocity(rad/s),Motor_Voltage(V),Controller_Mode,Motor_RPM
0.013,12.780,0.223,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.027,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.040,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.053,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.066,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.080,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.094,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.109,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.126,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.139,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.155,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.168,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.181,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.201,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.215,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.229,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.242,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.255,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.268,11.200,0.195,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
0.283,11.020,0.192,0.170,0.003,179.830,0.000,0.000,0.000,Emergency,0.0
