Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
99,Swingup,0.17,0.00,1.71,0.00,0.002707,0.00
100,Swingup,0.17,0.00,1.71,0.00,0.002877,0.00
101,Swingup,0.17,0.00,1.71,0.00,0.011659,0.00
102,Swingup,0.17,0.00,1.71,0.00,0.002625,0.00
103,Swingup,0.17,0.00,1.71,0.00,0.002261,0.00
104,Swingup,0.17,0.00,1.71,0.00,0.002712,0.00
105,Swingup,0.17,0.00,1.71,0.00,0.002987,0.00
106,Swingup,0.17,0.00,1.71,0.00,0.007920,0.00
107,Swingup,0.17,0.00,1.71,0.00,0.002188,0.00
108,Swingup,0.17,0.00,1.71,0.00,0.002609,0.00
109,Swingup,0.17,0.00,1.71,0.00,0.002519,0.00
110,Swingup,0.17,0.00,1.71,0.00,0.002558,0.00
111,Swingup,0.17,0.00,1.71,0.00,0.002972,0.00
112,Swingup,0.17,0.00,1.71,0.00,0.002436,0.00
113,Swingup,0.17,0.00,1.71,0.00,0.002346,0.00
114,Swingup,0.17,0.00,1.71,0.00,0.002412,0.00
115,Swingup,0.17,0.00,1.71,0.00,0.002321,0.00
116,Swingup,0.17,0.00,1.71,0.00,0.005134,0.00
117,Swingup,0.17,0.00,1.71,0.00,0.002497,0.00
118,Swingup,0.17,0.00,1.71,0.00,0.002701,0.00
119,Swingup,0.17,0.00,1.71,0.00,0.002820,0.00
120,Swingup,0.17,0.00,1.71,0.00,0.002519,0.00
121,Swingup,0.17,0.00,1.71,0.00,0.004719,0.00
122,Swingup,0.17,0.00,1.71,0.00,0.002649,0.00
123,Swingup,0.17,0.00,1.71,0.00,0.002413,0.00
124,Swingup,0.17,0.00,1.71,0.00,0.002516,0.00
125,Swingup,0.17,0.00,1.71,0.00,0.002463,0.00
126,Swingup,0.17,0.00,1.71,0.00,0.004632,0.00
127,Swingup,0.17,0.00,1.71,0.00,0.002652,0.00
128,Swingup,0.17,0.00,1.71,0.00,0.002344,0.00
129,Swingup,0.17,0.00,1.71,0.00,0.002868,0.00
130,Swingup,0.17,0.00,1.71,0.00,0.002319,0.00
131,Swingup,0.17,0.00,1.71,0.00,0.004044,0.00
132,Swingup,0.17,0.00,1.71,0.00,0.002300,0.00
133,Swingup,0.17,0.00,1.71,0.00,0.002532,0.00
134,Swingup,0.17,0.00,1.71,0.00,0.002654,0.00
135,Swingup,0.17,0.00,1.71,0.00,0.002554,0.00
136,Swingup,0.17,0.00,1.71,0.00,0.006280,0.00
137,Swingup,0.17,0.00,1.71,0.00,0.002614,0.00
138,Swingup,0.17,0.00,1.71,0.00,0.002557,0.00
139,Swingup,0.17,0.00,1.71,0.00,0.002438,0.00
140,Swingup,0.17,0.00,1.71,0.00,0.002611,0.00
141,Swingup,0.17,0.00,1.71,0.00,0.005609,0.00
142,Swingup,0.17,0.00,1.71,0.00,0.002255,0.00
143,Swingup,0.17,0.00,1.71,0.00,0.002564,0.00
144,Swingup,0.17,0.00,1.71,0.00,0.002841,0.00
145,Swingup,0.17,0.00,1.71,0.00,0.001717,0.00
146,Swingup,0.17,0.00,1.71,0.00,0.010200,0.00
147,Swingup,0.17,0.00,1.71,0.00,0.002208,0.00
148,Swingup,0.17,0.00,1.71,0.00,0.002690,0.00
149,Swingup,0.17,0.00,1.71,0.00,0.002073,0.00
150,Swingup,0.17,0.00,1.71,0.00,0.002153,0.00
151,Swingup,0.17,0.00,1.71,0.00,0.004880,0.00
152,Swingup,0.17,0.00,1.71,0.00,0.002562,0.00
153,Swingup,0.17,0.00,1.71,0.00,0.002402,0.00
154,Swingup,0.17,0.00,1.71,0.00,0.002758,0.00
155,Swingup,0.17,0.00,1.71,0.00,0.002078,0.00
156,Swingup,0.17,0.00,1.71,0.00,0.005308,0.00
157,Swingup,0.17,0.00,1.71,0.00,0.002244,0.00
158,Swingup,0.17,0.00,1.71,0.00,0.002463,0.00
159,Swingup,0.17,0.00,1.71,0.00,0.002516,0.00
160,Swingup,0.17,0.00,1.71,0.00,0.002738,0.00
161,Swingup,0.17,0.00,1.71,0.00,0.003399,0.00
162,Swingup,0.17,0.00,1.71,0.00,0.002234,0.00
163,Swingup,0.17,0.00,1.71,0.00,0.002103,0.00
164,Swingup,0.17,0.00,1.71,0.00,0.001992,0.00
165,Swingup,0.17,0.00,1.71,0.00,0.002389,0.00
166,Swingup,0.17,0.00,1.71,0.00,0.006764,0.00
167,Swingup,0.17,0.00,1.71,0.00,0.002217,0.00
168,Swingup,0.17,0.00,1.71,0.00,0.002532,0.00
169,Swingup,0.17,0.00,1.71,0.00,0.002915,0.00
170,Swingup,0.17,0.00,1.71,0.00,0.002245,0.00
171,Swingup,0.17,0.00,1.71,0.00,0.004777,0.00
172,Swingup,0.17,0.00,1.71,0.00,0.002220,0.00
173,Swingup,0.17,0.00,1.71,0.00,0.002817,0.00
174,Swingup,0.17,0.00,1.71,0.00,0.002065,0.00
175,Swingup,0.17,0.00,1.71,0.00,0.002452,0.00
176,Swingup,0.17,0.00,1.71,0.00,0.008727,0.00
177,Swingup,0.17,0.00,1.71,0.00,0.002476,0.00
178,Swingup,0.17,0.00,1.71,0.00,0.002241,0.00
179,Swingup,0.17,0.00,1.71,0.00,0.002655,0.00
180,Swingup,0.17,0.00,1.71,0.00,0.002440,0.00
181,Swingup,0.17,0.00,1.71,0.00,0.007013,0.00
182,Swingup,0.17,0.00,1.71,0.00,0.001979,0.00
183,Swingup,0.17,0.00,1.71,0.00,0.002192,0.00
184,Swingup,0.17,0.00,1.71,0.00,0.002032,0.00
185,Swingup,0.17,0.00,1.71,0.00,0.002241,0.00
186,Swingup,0.17,0.00,1.71,0.00,0.006244,0.00
187,Swingup,0.17,0.00,1.71,0.00,0.002025,0.00
188,Swingup,0.17,0.00,1.71,0.00,0.003063,0.00
189,Swingup,0.17,0.00,1.71,0.00,0.002012,0.00
190,Swingup,0.17,0.00,1.71,0.00,0.002370,0.00
191,Swingup,0.17,0.00,1.71,0.00,0.008380,0.00
192,Swingup,0.17,0.00,1.71,0.00,0.002845,0.00
193,Swingup,0.17,0.00,1.71,0.00,0.002484,0.00
194,Swingup,0.17,0.00,1.71,0.00,0.002696,0.00
195,Swingup,0.17,0.00,1.71,0.00,0.001966,0.00
196,Swingup,0.17,0.00,1.71,0.00,0.005314,0.00
197,Swingup,0.17,0.00,1.71,0.00,0.002440,0.00
198,Swingup,0.17,0.00,1.71,0.00,0.001926,0.00
199,Swingup,0.17,0.00,1.71,0.00,0.002683,0.00
200,Swingup,0.17,0.00,1.71,0.00,0.002214,0.00
201,Swingup,0.17,0.00,1.71,0.00,0.005671,0.00
202,Swingup,0.17,0.00,1.71,0.00,0.002449,0.00
203,Swingup,0.17,0.00,1.71,0.00,0.002290,0.00
204,Swingup,0.17,0.00,1.71,0.00,0.002163,0.00
205,Swingup,0.17,0.00,1.71,0.00,0.002196,0.00
206,Swingup,0.17,0.00,1.71,0.00,0.004404,0.00
207,Swingup,0.17,0.00,1.71,0.00,0.002119,0.00
208,Swingup,0.17,0.00,1.71,0.00,0.002503,0.00
209,Swingup,0.17,0.00,1.71,0.00,0.002695,0.00
210,Swingup,0.17,0.00,1.71,0.00,0.002475,0.00
211,Swingup,0.17,0.00,1.71,0.00,0.004807,0.00
212,Swingup,0.17,0.00,1.71,0.00,0.002334,0.00
213,Swingup,0.17,0.00,1.71,0.00,0.002788,0.00
214,Swingup,0.17,0.00,1.71,0.00,0.002458,0.00
215,Swingup,0.17,0.00,1.71,0.00,0.002087,0.00
216,Swingup,0.17,0.00,1.71,0.00,0.006096,0.00
217,Swingup,0.17,0.00,1.71,0.00,0.002546,0.00
218,Swingup,0.17,0.00,1.71,0.00,0.002588,0.00
219,Swingup,0.17,0.00,1.71,0.00,0.002517,0.00
220,Swingup,0.17,0.00,1.71,0.00,0.002418,0.00
221,Swingup,0.17,0.00,1.71,0.00,0.006047,0.00
222,Swingup,0.17,0.00,1.71,0.00,0.002117,0.00
223,Swingup,0.17,0.00,1.71,0.00,0.002088,0.00
224,Swingup,0.17,0.00,1.71,0.00,0.002806,0.00
225,Swingup,0.17,0.00,1.71,0.00,0.001841,0.00
226,Swingup,0.17,0.00,1.71,0.00,0.002904,0.00
227,Swingup,0.17,0.00,1.71,0.00,0.002655,0.00
228,Swingup,0.17,0.00,1.71,0.00,0.002248,0.00
229,Swingup,0.17,0.00,1.71,0.00,0.002270,0.00
230,Swingup,0.17,0.00,1.71,0.00,0.002923,0.00
231,Swingup,0.17,0.00,1.71,0.00,0.003688,0.00
232,Swingup,0.17,0.00,1.71,0.00,0.002254,0.00
233,Swingup,0.17,0.00,1.71,0.00,0.002301,0.00
234,Swingup,0.17,0.00,1.71,0.00,0.002463,0.00
235,Swingup,0.17,0.00,1.71,0.00,0.002134,0.00
236,Swingup,0.17,0.00,1.71,0.00,0.004447,0.00
237,Swingup,0.17,0.00,1.71,0.00,0.002423,0.00
238,Swingup,0.17,0.00,1.71,0.00,0.002412,0.00
239,Swingup,0.17,0.00,1.71,0.00,0.002315,0.00
240,Swingup,0.17,0.00,1.71,0.00,0.002353,0.00
241,Swingup,0.17,0.00,1.71,0.00,0.003660,0.00
242,Swingup,0.17,0.00,1.71,0.00,0.002240,0.00
243,Swingup,0.17,0.00,1.71,0.00,0.002428,0.00
244,Swingup,0.17,0.00,1.71,0.00,0.002454,0.00
245,Swingup,0.17,0.00,1.71,0.00,0.002136,0.00
246,Swingup,0.17,0.00,1.71,0.00,0.003731,0.00
247,Swingup,0.17,0.00,1.71,0.00,0.002581,0.00
248,Swingup,0.17,0.00,1.71,0.00,0.002471,0.00
249,Swingup,0.17,0.00,1.71,0.00,0.002408,0.00
250,Swingup,0.17,0.00,1.71,0.00,0.002620,0.00
251,Swingup,0.17,0.00,1.71,0.00,0.003488,0.00
252,Swingup,0.17,0.00,1.71,0.00,0.002625,0.00
253,Swingup,0.17,0.00,1.71,0.00,0.001836,0.00
254,Swingup,0.17,0.00,1.71,0.00,0.002668,0.00
255,Swingup,0.17,0.00,1.71,0.00,0.002451,0.00
256,Swingup,0.17,0.00,1.71,0.00,0.006208,0.00
257,Swingup,0.17,0.00,1.71,0.00,0.002003,0.00
258,Swingup,0.17,0.00,1.71,0.00,0.002632,0.00
259,Swingup,0.17,0.00,1.71,0.00,0.002820,0.00
260,Swingup,0.17,0.00,1.71,0.00,0.002285,0.00
261,Swingup,0.17,0.00,1.71,0.00,0.004216,0.00
262,Swingup,0.17,0.00,1.71,0.00,0.002038,0.00
263,Swingup,0.17,0.00,1.71,0.00,0.002949,0.00
264,Swingup,0.17,0.00,1.71,0.00,0.002187,0.00
265,Swingup,0.17,0.00,1.71,0.00,0.002490,0.00
266,Swingup,0.17,0.00,1.71,0.00,0.002387,0.00
267,Swingup,0.17,0.00,1.71,0.00,0.002508,0.00
268,Swingup,0.17,0.00,1.71,0.00,0.002198,0.00
269,Swingup,0.17,0.00,1.71,0.00,0.002501,0.00
270,Swingup,0.17,0.00,1.71,0.00,0.002259,0.00
271,Swingup,0.17,0.00,1.71,0.00,0.002581,0.00
272,Swingup,0.17,0.00,1.71,0.00,0.002091,0.00
273,Swingup,0.17,0.00,1.71,0.00,0.002403,0.00
274,Swingup,0.17,0.00,1.71,0.00,0.001939,0.00
275,Swingup,0.17,0.00,1.71,0.00,0.002510,0.00
276,Swingup,0.17,0.00,1.71,0.00,0.002875,0.00
277,Swingup,0.17,0.00,1.71,0.00,0.002317,0.00
278,Swingup,0.17,0.00,1.71,0.00,0.002801,0.00
279,Swingup,0.17,0.00,1.71,0.00,0.002182,0.00
280,Swingup,0.17,0.00,1.71,0.00,0.002449,0.00
281,Swingup,0.17,0.00,1.71,0.00,0.003066,0.00
282,Swingup,0.17,0.00,1.71,0.00,0.002552,0.00
283,Swingup,0.17,0.00,1.71,0.00,0.002059,0.00
284,Swingup,0.17,0.00,1.71,0.00,0.002636,0.00
285,Swingup,0.17,0.00,1.71,0.00,0.001743,0.00
286,Swingup,0.17,0.00,1.71,0.00,0.007736,0.00
287,Swingup,0.17,0.00,1.71,0.00,0.002460,0.00
288,Swingup,0.17,0.00,1.71,0.00,0.002762,0.00
289,Swingup,0.17,0.00,1.71,0.00,0.001915,0.00
290,Swingup,0.17,0.00,1.71,0.00,0.002319,0.00
291,Swingup,0.17,0.00,1.71,0.00,0.002637,0.00
292,Swingup,0.17,0.00,1.71,0.00,0.002388,0.00
293,Swingup,0.17,0.00,1.71,0.00,0.002645,0.00
294,Swingup,0.17,0.00,1.71,0.00,0.002348,0.00
295,Swingup,0.17,0.00,1.71,0.00,0.002104,0.00
296,Swingup,0.17,0.00,1.71,0.00,0.010035,0.00
297,Swingup,0.17,0.00,1.71,0.00,0.002705,0.00
298,Swingup,0.17,0.00,1.71,0.00,0.002189,0.00
299,Swingup,0.17,0.00,1.71,0.00,0.002346,0.00
300,Swingup,0.17,0.00,1.71,0.00,0.002168,0.00
301,Swingup,0.17,0.00,1.71,0.00,0.006920,0.00
302,Swingup,0.17,0.00,1.71,0.00,0.002251,0.00
303,Swingup,0.17,0.00,1.71,0.00,0.001980,0.00
304,Swingup,0.17,0.00,1.71,0.00,0.002584,0.00
305,Swingup,0.17,0.00,1.71,0.00,0.002232,0.00
306,Swingup,0.17,0.00,1.71,0.00,0.008054,0.00
307,Swingup,0.17,0.00,1.71,0.00,0.001920,0.00
308,Swingup,0.17,0.00,1.71,0.00,0.002281,0.00
309,Swingup,0.17,0.00,1.71,0.00,0.002542,0.00
310,Swingup,0.17,0.00,1.71,0.00,0.002246,0.00
311,Swingup,0.17,0.00,1.71,0.00,0.004846,0.00
312,Swingup,0.17,0.00,1.71,0.00,0.002153,0.00
313,Swingup,0.17,0.00,1.71,0.00,0.002421,0.00
314,Swingup,0.17,0.00,1.71,0.00,0.002676,0.00
315,Swingup,0.17,0.00,1.71,0.00,0.002179,0.00
316,Swingup,0.17,0.00,1.71,0.00,0.007595,0.00
