Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,1800.00,0.00,1.00,0.00,0.018331,0.00
2,Swingup,1800.00,0.00,1.00,0.00,0.002526,0.00
3,Swingup,1800.00,0.00,1.00,0.00,0.001866,0.00
4,Swingup,1800.00,0.00,1.00,0.00,0.002053,0.00
5,Swingup,1800.00,0.00,1.00,0.00,0.002455,0.00
6,Swingup,1800.00,0.00,1.00,0.00,0.002141,0.00
7,Swingup,1800.00,0.00,1.00,0.00,0.002186,0.00
8,Swingup,1800.00,0.00,1.00,0.00,0.002262,0.00
9,Swingup,1800.00,0.00,1.00,0.00,0.001916,0.00
10,Swingup,1800.00,0.00,1.00,0.00,0.002296,0.00
11,Swingup,1800.00,0.00,1.00,0.00,0.002356,0.00
12,Swingup,1800.00,0.00,1.00,0.00,0.002077,0.00
13,Swingup,1800.00,0.00,1.00,0.00,0.001934,0.00
14,Swingup,1800.00,0.00,1.00,0.00,0.002405,0.00
15,Swingup,1800.00,0.00,1.00,0.00,0.002001,0.00
16,Swingup,1800.00,0.00,1.00,0.00,0.002163,0.00
17,Swingup,1800.00,0.00,1.00,0.00,0.001844,0.00
18,Swingup,1800.00,0.00,1.00,0.00,0.002637,0.00
19,Swingup,1800.00,0.00,1.00,0.00,0.002261,0.00
20,Swingup,1800.00,0.00,1.00,0.00,0.002116,0.00
21,Swingup,1800.00,0.00,1.00,0.00,0.022300,0.00
22,Swingup,1800.00,0.00,1.00,0.00,0.002385,0.00
23,Swingup,1800.00,0.00,1.00,0.00,0.002009,0.00
24,Swingup,1800.00,0.00,1.00,0.00,0.002031,0.00
25,Swingup,1800.00,0.00,1.00,0.00,0.001995,0.00
26,Swingup,1800.00,0.00,1.00,0.00,0.002113,0.00
27,Swingup,1800.00,0.00,1.00,0.00,0.002008,0.00
28,Swingup,1800.00,0.00,1.00,0.00,0.001999,0.00
29,Swingup,1800.00,0.00,1.00,0.00,0.002012,0.00
30,Swingup,1800.00,0.00,1.00,0.00,0.002399,0.00
31,Swingup,1800.00,0.00,1.00,0.00,0.002292,0.00
32,Swingup,1800.00,0.00,1.00,0.00,0.001985,0.00
33,Swingup,1800.00,0.00,1.00,0.00,0.002156,0.00
34,Swingup,1800.00,0.00,1.00,0.00,0.002602,0.00
35,Swingup,1800.00,0.00,1.00,0.00,0.002149,0.00
36,Swingup,1800.00,0.00,1.00,0.00,0.002115,0.00
37,Swingup,1800.00,0.00,1.00,0.00,0.002428,0.00
38,Swingup,1800.00,0.00,1.00,0.00,0.001758,0.00
39,Swingup,1800.00,0.00,1.00,0.00,0.001938,0.00
40,Swingup,1800.00,0.00,1.00,0.00,0.002112,0.00
41,Swingup,1800.00,0.00,1.00,0.00,0.004165,0.00
42,Swingup,1800.00,0.00,1.00,0.00,0.002493,0.00
43,Swingup,1800.00,0.00,1.00,0.00,0.001779,0.00
44,Swingup,1800.00,0.00,1.00,0.00,0.001688,0.00
45,Swingup,1800.00,0.00,1.00,0.00,0.002654,0.00
46,Swingup,1800.00,0.00,1.00,0.00,0.002597,0.00
47,Swingup,1800.00,0.00,1.00,0.00,0.002379,0.00
48,Swingup,1800.00,0.00,1.00,0.00,0.001789,0.00
49,Swingup,1800.00,0.00,1.00,0.00,0.002195,0.00
50,Swingup,1800.00,0.00,1.00,0.00,0.002428,0.00
51,Swingup,1800.00,0.00,1.00,0.00,0.002137,0.00
52,Swingup,1800.00,0.00,1.00,0.00,0.002516,0.00
53,Swingup,1800.00,0.00,1.00,0.00,0.001895,0.00
54,Swingup,1800.00,0.00,1.00,0.00,0.002520,0.00
55,Swingup,1800.00,0.00,1.00,0.00,0.002733,0.00
56,Swingup,1800.00,0.00,1.00,0.00,0.002247,0.00
57,Swingup,1800.00,0.00,1.00,0.00,0.002326,0.00
58,Swingup,1800.00,0.00,1.00,0.00,0.002136,0.00
59,Swingup,1800.00,0.00,1.00,0.00,0.002229,0.00
60,Swingup,1800.00,0.00,1.00,0.00,0.002143,0.00
61,Swingup,1800.00,0.00,1.00,0.00,0.010661,0.00
62,Swingup,1800.00,0.00,1.00,0.00,0.002301,0.00
63,Swingup,1800.00,0.00,1.00,0.00,0.001970,0.00
64,Swingup,1800.00,0.00,1.00,0.00,0.002372,0.00
65,Swingup,1800.00,0.00,1.00,0.00,0.001814,0.00
66,Swingup,1800.00,0.00,1.00,0.00,0.002056,0.00
67,Swingup,1800.00,0.00,1.00,0.00,0.002505,0.00
68,Swingup,1800.00,0.00,1.00,0.00,0.002303,0.00
69,Swingup,1800.00,0.00,1.00,0.00,0.002362,0.00
70,Swingup,1800.00,0.00,1.00,0.00,0.001981,0.00
71,Swingup,1800.00,0.00,1.00,0.00,0.002113,0.00
72,Swingup,1800.00,0.00,1.00,0.00,0.002234,0.00
73,Swingup,1800.00,0.00,1.00,0.00,0.001877,0.00
74,Swingup,1800.00,0.00,1.00,0.00,0.002352,0.00
75,Swingup,1800.00,0.00,1.00,0.00,0.001995,0.00
76,Swingup,1800.00,0.00,1.00,0.00,0.002251,0.00
77,Swingup,1800.00,0.00,1.00,0.00,0.002368,0.00
78,Swingup,1800.00,0.00,1.00,0.00,0.002063,0.00
79,Swingup,1800.00,0.00,1.00,0.00,0.002259,0.00
80,Swingup,1800.00,0.00,1.00,0.00,0.002136,0.00
81,Swingup,1800.00,0.00,1.00,0.00,0.003524,0.00
82,Swingup,1800.00,0.00,1.00,0.00,0.002065,0.00
83,Swingup,1800.00,0.00,1.00,0.00,0.002304,0.00
84,Swingup,1800.00,0.00,1.00,0.00,0.002116,0.00
85,Swingup,1800.00,0.00,1.00,0.00,0.002218,0.00
86,Swingup,1800.00,0.00,1.00,0.00,0.002278,0.00
87,Swingup,1800.00,0.00,1.00,0.00,0.001874,0.00
88,Swingup,1800.00,0.00,1.00,0.00,0.002238,0.00
89,Swingup,1800.00,0.00,1.00,0.00,0.002080,0.00
90,Swingup,1800.00,0.00,1.00,0.00,0.001875,0.00
91,Swingup,1800.00,0.00,1.00,0.00,0.002332,0.00
92,Swingup,1800.00,0.00,1.00,0.00,0.001945,0.00
93,Swingup,1800.00,0.00,1.00,0.00,0.002136,0.00
94,Swingup,1800.00,0.00,1.00,0.00,0.002126,0.00
95,Swingup,1800.00,0.00,1.00,0.00,0.002430,0.00
96,Swingup,1800.00,0.00,1.00,0.00,0.002137,0.00
97,Swingup,1800.00,0.00,1.00,0.00,0.002206,0.00
98,Swingup,1800.00,0.00,1.00,0.00,0.002167,0.00
99,Swingup,1800.00,0.00,1.00,0.00,0.002368,0.00
100,Swingup,1800.00,0.00,1.00,0.00,0.001907,0.00
101,Swingup,1800.00,0.00,1.00,0.00,0.005292,0.00
102,Swingup,1800.00,0.00,1.00,0.00,0.002248,0.00
103,Swingup,1800.00,0.00,1.00,0.00,0.002198,0.00
104,Swingup,1800.00,0.00,1.00,0.00,0.002027,0.00
105,Swingup,1800.00,0.00,1.00,0.00,0.002260,0.00
106,Swingup,1800.00,0.00,1.00,0.00,0.002245,0.00
107,Swingup,1800.00,0.00,1.00,0.00,0.002331,0.00
108,Swingup,1800.00,0.00,1.00,0.00,0.001948,0.00
109,Swingup,1800.00,0.00,1.00,0.00,0.001919,0.00
110,Swingup,1800.00,0.00,1.00,0.00,0.002378,0.00
111,Swingup,1800.00,0.00,1.00,0.00,0.002196,0.00
