Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,3959.29,0.00,5.58,0.00,0.025186,0.00
2,Swingup,3959.29,0.00,5.58,0.00,0.003334,0.00
3,Swingup,3959.29,0.00,5.58,0.00,0.003297,0.00
4,Swingup,3959.29,0.00,5.58,0.00,0.003520,0.00
5,Swingup,3959.29,0.00,5.58,0.00,0.003652,0.00
6,Swingup,3959.29,0.00,5.58,0.00,0.003251,0.00
7,Swingup,3959.29,0.00,5.58,0.00,0.003767,0.00
8,Swingup,3959.29,0.00,5.58,0.00,0.003795,0.00
9,Swingup,3959.29,0.00,5.58,0.00,0.003132,0.00
10,Swingup,3959.29,0.00,5.58,0.00,0.003364,0.00
11,Swingup,3959.29,0.00,5.58,0.00,0.003658,0.00
12,Swingup,3959.29,0.00,5.58,0.00,0.003644,0.00
13,Swingup,3959.29,0.00,5.58,0.00,0.003467,0.00
14,Swingup,3959.29,0.00,5.58,0.00,0.003475,0.00
15,Swingup,3959.29,0.00,5.58,0.00,0.003239,0.00
16,Swingup,3959.29,0.00,5.58,0.00,0.003394,0.00
17,Swingup,3959.29,0.00,5.58,0.00,0.003532,0.00
18,Swingup,3959.29,0.00,5.58,0.00,0.003880,0.00
19,Swingup,3959.29,0.00,5.58,0.00,0.003872,0.00
20,Swingup,3959.29,0.00,5.58,0.00,0.003072,0.00
21,Swingup,3959.29,0.00,5.58,0.00,0.010345,0.00
22,Swingup,3959.29,0.00,5.58,0.00,0.003432,0.00
23,Swingup,3959.29,0.00,5.58,0.00,0.003330,0.00
24,Swingup,3959.29,0.00,5.58,0.00,0.003613,0.00
25,Swingup,3959.29,0.00,5.58,0.00,0.003555,0.00
26,Swingup,3959.29,0.00,5.58,0.00,0.003764,0.00
27,Swingup,3959.29,0.00,5.58,0.00,0.003457,0.00
28,Swingup,3959.29,0.00,5.58,0.00,0.003710,0.00
29,Swingup,3959.29,0.00,5.58,0.00,0.003105,0.00
30,Swingup,3959.29,0.00,5.58,0.00,0.003791,0.00
31,Swingup,3959.29,0.00,5.58,0.00,0.003335,0.00
32,Swingup,3959.29,0.00,5.58,0.00,0.003983,0.00
33,Swingup,3959.29,0.00,5.58,0.00,0.002977,0.00
34,Swingup,3959.29,0.00,5.58,0.00,0.003507,0.00
35,Swingup,3959.29,0.00,5.58,0.00,0.003339,0.00
