Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,1440.17,0.00,3.82,0.00,0.048836,0.00
2,Swingup,1440.17,0.00,3.82,0.00,0.001981,0.00
3,Swingup,1440.17,0.00,3.82,0.00,0.002422,0.00
4,Swingup,1440.17,0.00,3.82,0.00,0.002444,0.00
5,Swingup,1440.17,0.00,3.82,0.00,0.002574,0.00
6,Swingup,1440.17,0.00,3.82,0.00,0.011795,0.00
7,Swingup,1440.17,0.00,3.82,0.00,0.002275,0.00
8,Swingup,1440.17,0.00,3.82,0.00,0.002634,0.00
9,Swingup,1440.17,0.00,3.82,0.00,0.002336,0.00
10,Swingup,1440.17,0.00,3.82,0.00,0.002364,0.00
11,Swingup,1440.17,0.00,3.82,0.00,0.004599,0.00
12,Swingup,1440.17,0.00,3.82,0.00,0.001856,0.00
13,Swingup,1440.17,0.00,3.82,0.00,0.002166,0.00
14,Swingup,1440.17,0.00,3.82,0.00,0.002717,0.00
15,Swingup,1440.17,0.00,3.82,0.00,0.002541,0.00
16,Swingup,1440.17,0.00,3.82,0.00,0.006618,0.00
17,Swingup,1440.17,0.00,3.82,0.00,0.002460,0.00
18,Swingup,1440.17,0.00,3.82,0.00,0.002717,0.00
19,Swingup,1440.17,0.00,3.82,0.00,0.001747,0.00
20,Swingup,1440.17,0.00,3.82,0.00,0.002301,0.00
21,Swingup,1440.17,0.00,3.82,0.00,0.005244,0.00
22,Swingup,1440.17,0.00,3.82,0.00,0.002955,0.00
23,Swingup,1440.17,0.00,3.82,0.00,0.002133,0.00
24,Swingup,1440.17,0.00,3.82,0.00,0.002702,0.00
25,Swingup,1440.17,0.00,3.82,0.00,0.002382,0.00
26,Swingup,1440.17,0.00,3.82,0.00,0.003833,0.00
27,Swingup,1440.17,0.00,3.82,0.00,0.002311,0.00
28,Swingup,1440.17,0.00,3.82,0.00,0.002502,0.00
29,Swingup,1440.17,0.00,3.82,0.00,0.002480,0.00
30,Swingup,1440.17,0.00,3.82,0.00,0.002420,0.00
31,Swingup,1440.17,0.00,3.82,0.00,0.004952,0.00
32,Swingup,1440.17,0.00,3.82,0.00,0.002227,0.00
33,Swingup,1440.17,0.00,3.82,0.00,0.002229,0.00
34,Swingup,1440.17,0.00,3.82,0.00,0.002361,0.00
35,Swingup,1440.17,0.00,3.82,0.00,0.002177,0.00
36,Swingup,1440.17,0.00,3.82,0.00,0.004539,0.00
37,Swingup,1440.17,0.00,3.82,0.00,0.002661,0.00
38,Swingup,1440.17,0.00,3.82,0.00,0.002462,0.00
39,Swingup,1440.17,0.00,3.82,0.00,0.002677,0.00
40,Swingup,1440.17,0.00,3.82,0.00,0.002230,0.00
41,Swingup,1440.17,0.00,3.82,0.00,0.009593,0.00
42,Swingup,1440.17,0.00,3.82,0.00,0.002758,0.00
43,Swingup,1440.17,0.00,3.82,0.00,0.002576,0.00
44,Swingup,1440.17,0.00,3.82,0.00,0.002204,0.00
45,Swingup,1440.17,0.00,3.82,0.00,0.002643,0.00
46,Swingup,1440.17,0.00,3.82,0.00,0.004102,0.00
47,Swingup,1440.17,0.00,3.82,0.00,0.002344,0.00
48,Swingup,1440.17,0.00,3.82,0.00,0.002878,0.00
49,Swingup,1440.17,0.00,3.82,0.00,0.001856,0.00
50,Swingup,1440.17,0.00,3.82,0.00,0.002295,0.00
51,Swingup,1440.17,0.00,3.82,0.00,0.003754,0.00
52,Swingup,1440.17,0.00,3.82,0.00,0.002795,0.00
53,Swingup,1440.17,0.00,3.82,0.00,0.002029,0.00
54,Swingup,1440.17,0.00,3.82,0.00,0.002725,0.00
55,Swingup,1440.17,0.00,3.82,0.00,0.002576,0.00
56,Swingup,1440.17,0.00,3.82,0.00,0.006896,0.00
57,Swingup,1440.17,0.00,3.82,0.00,0.002577,0.00
58,Swingup,1440.17,0.00,3.82,0.00,0.002132,0.00
59,Swingup,1440.17,0.00,3.82,0.00,0.002716,0.00
60,Swingup,1440.17,0.00,3.82,0.00,0.002199,0.00
61,Swingup,1440.17,0.00,3.82,0.00,0.008609,0.00
62,Swingup,1440.17,0.00,3.82,0.00,0.002131,0.00
63,Swingup,1440.17,0.00,3.82,0.00,0.002912,0.00
64,Swingup,1440.17,0.00,3.82,0.00,0.002434,0.00
65,Swingup,1440.17,0.00,3.82,0.00,0.002425,0.00
66,Swingup,1440.17,0.00,3.82,0.00,0.007682,0.00
67,Swingup,1440.17,0.00,3.82,0.00,0.002577,0.00
68,Swingup,1440.17,0.00,3.82,0.00,0.002307,0.00
69,Swingup,1440.17,0.00,3.82,0.00,0.002660,0.00
70,Swingup,1440.17,0.00,3.82,0.00,0.002473,0.00
71,Swingup,1440.17,0.00,3.82,0.00,0.002301,0.00
72,Swingup,1440.17,0.00,3.82,0.00,0.002285,0.00
73,Swingup,1440.17,0.00,3.82,0.00,0.001861,0.00
74,Swingup,1440.17,0.00,3.82,0.00,0.002051,0.00
75,Swingup,1440.17,0.00,3.82,0.00,0.002557,0.00
76,Swingup,1440.17,0.00,3.82,0.00,0.002802,0.00
77,Swingup,1440.17,0.00,3.82,0.00,0.002466,0.00
78,Swingup,1440.17,0.00,3.82,0.00,0.002185,0.00
79,Swingup,1440.17,0.00,3.82,0.00,0.002647,0.00
80,Swingup,1440.17,0.00,3.82,0.00,0.002199,0.00
81,Swingup,1440.17,0.00,3.82,0.00,0.003717,0.00
82,Swingup,1440.17,0.00,3.82,0.00,0.002233,0.00
83,Swingup,1440.17,0.00,3.82,0.00,0.002619,0.00
84,Swingup,1440.17,0.00,3.82,0.00,0.003196,0.00
85,Swingup,1440.17,0.00,3.82,0.00,0.001956,0.00
86,Swingup,1440.17,0.00,3.82,0.00,0.004833,0.00
87,Swingup,1440.17,0.00,3.82,0.00,0.002766,0.00
88,Swingup,1440.17,0.00,3.82,0.00,0.002478,0.00
89,Swingup,1440.17,0.00,3.82,0.00,0.002394,0.00
90,Swingup,1440.17,0.00,3.82,0.00,0.001897,0.00
91,Swingup,1440.17,0.00,3.82,0.00,0.005804,0.00
92,Swingup,1440.17,0.00,3.82,0.00,0.002152,0.00
93,Swingup,1440.17,0.00,3.82,0.00,0.002100,0.00
94,Swingup,1440.17,0.00,3.82,0.00,0.002111,0.00
95,Swingup,1440.17,0.00,3.82,0.00,0.002261,0.00
96,Swingup,1440.17,0.00,3.82,0.00,0.011962,0.00
97,Swingup,1440.17,0.00,3.82,0.00,0.002334,0.00
98,Swingup,1440.17,0.00,3.82,0.00,0.002598,0.00
99,Swingup,1440.17,0.00,3.82,0.00,0.002423,0.00
100,Swingup,1440.17,0.00,3.82,0.00,0.003073,0.00
101,Swingup,1440.17,0.00,3.82,0.00,0.006813,0.00
102,Swingup,1440.17,0.00,3.82,0.00,0.002307,0.00
103,Swingup,1440.17,0.00,3.82,0.00,0.002138,0.00
104,Swingup,1440.17,0.00,3.82,0.00,0.002553,0.00
105,Swingup,1440.17,0.00,3.82,0.00,0.002393,0.00
106,Swingup,1440.17,0.00,3.82,0.00,0.005487,0.00
107,Swingup,1440.17,0.00,3.82,0.00,0.002654,0.00
108,Swingup,1440.17,0.00,3.82,0.00,0.002367,0.00
109,Swingup,1440.17,0.00,3.82,0.00,0.002539,0.00
110,Swingup,1440.17,0.00,3.82,0.00,0.002357,0.00
111,Swingup,1440.17,0.00,3.82,0.00,0.004604,0.00
112,Swingup,1440.17,0.00,3.82,0.00,0.002389,0.00
113,Swingup,1440.17,0.00,3.82,0.00,0.002300,0.00
114,Swingup,1440.17,0.00,3.82,0.00,0.002732,0.00
115,Swingup,1440.17,0.00,3.82,0.00,0.002429,0.00
116,Swingup,1440.17,0.00,3.82,0.00,0.004718,0.00
117,Swingup,1440.17,0.00,3.82,0.00,0.002517,0.00
118,Swingup,1440.17,0.00,3.82,0.00,0.002646,0.00
119,Swingup,1440.17,0.00,3.82,0.00,0.002422,0.00
120,Swingup,1440.17,0.00,3.82,0.00,0.002094,0.00
121,Swingup,1440.17,0.00,3.82,0.00,0.003257,0.00
122,Swingup,1440.17,0.00,3.82,0.00,0.002323,0.00
123,Swingup,1440.17,0.00,3.82,0.00,0.002560,0.00
124,Swingup,1440.17,0.00,3.82,0.00,0.002730,0.00
125,Swingup,1440.17,0.00,3.82,0.00,0.002005,0.00
126,Swingup,1440.17,0.00,3.82,0.00,0.005893,0.00
127,Swingup,1440.17,0.00,3.82,0.00,0.002390,0.00
128,Swingup,1440.17,0.00,3.82,0.00,0.002364,0.00
129,Swingup,1440.17,0.00,3.82,0.00,0.002885,0.00
130,Swingup,1440.17,0.00,3.82,0.00,0.002794,0.00
131,Swingup,1440.17,0.00,3.82,0.00,0.004909,0.00
132,Swingup,1440.17,0.00,3.82,0.00,0.002747,0.00
133,Swingup,1440.17,0.00,3.82,0.00,0.002408,0.00
134,Swingup,1440.17,0.00,3.82,0.00,0.002328,0.00
135,Swingup,1440.17,0.00,3.82,0.00,0.002657,0.00
136,Swingup,1440.17,0.00,3.82,0.00,0.003139,0.00
137,Swingup,1440.17,0.00,3.82,0.00,0.002624,0.00
