Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
93,Swingup,17999.82,0.00,-0.93,0.00,0.002810,0.00
94,Swingup,17999.82,0.00,-0.93,0.00,0.002994,0.00
95,Swingup,17999.82,0.00,-0.93,0.00,0.002962,0.00
96,Swingup,17999.82,0.00,-0.93,0.00,0.002385,0.00
97,Swingup,17999.82,0.00,-0.93,0.00,0.002901,0.00
98,Swingup,17999.82,0.00,-0.93,0.00,0.002918,0.00
99,Swingup,17999.82,0.00,-0.93,0.00,0.002534,0.00
100,Swingup,17999.82,0.00,-0.93,0.00,0.003172,0.00
101,Swingup,17999.82,0.00,-0.93,0.00,0.030259,0.00
102,Swingup,17999.82,0.00,-0.93,0.00,0.003233,0.00
103,Swingup,17999.82,0.00,-0.93,0.00,0.003226,0.00
104,Swingup,17999.82,0.00,-0.93,0.00,0.003136,0.00
105,Swingup,17999.82,0.00,-0.93,0.00,0.002879,0.00
106,Swingup,17999.82,0.00,-0.93,0.00,0.003079,0.00
107,Swingup,17999.82,0.00,-0.93,0.00,0.003067,0.00
108,Swingup,17999.82,0.00,-0.93,0.00,0.002913,0.00
109,Swingup,17999.82,0.00,-0.93,0.00,0.003052,0.00
110,Swingup,17999.82,0.00,-0.93,0.00,0.002703,0.00
111,Swingup,17999.82,0.00,-0.93,0.00,0.002762,0.00
112,Swingup,17999.82,0.00,-0.93,0.00,0.003015,0.00
113,Swingup,17999.82,0.00,-0.93,0.00,0.002664,0.00
114,Swingup,17999.82,0.00,-0.93,0.00,0.003329,0.00
115,Swingup,17999.82,0.00,-0.93,0.00,0.002705,0.00
116,Swingup,17999.82,0.00,-0.93,0.00,0.002780,0.00
117,Swingup,17999.82,0.00,-0.93,0.00,0.002863,0.00
118,Swingup,17999.82,0.00,-0.93,0.00,0.002792,0.00
119,Swingup,17999.82,0.00,-0.93,0.00,0.002557,0.00
120,Swingup,17999.82,0.00,-0.93,0.00,0.002915,0.00
121,Swingup,17999.82,0.00,-0.93,0.00,0.005189,0.00
122,Swingup,17999.82,0.00,-0.93,0.00,0.002512,0.00
123,Swingup,17999.82,0.00,-0.93,0.00,0.003173,0.00
124,Swingup,17999.82,0.00,-0.93,0.00,0.002867,0.00
125,Swingup,17999.82,0.00,-0.93,0.00,0.003416,0.00
126,Swingup,17999.82,0.00,-0.93,0.00,0.002379,0.00
127,Swingup,17999.82,0.00,-0.93,0.00,0.002737,0.00
128,Swingup,17999.82,0.00,-0.93,0.00,0.002843,0.00
