Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,0.00,0.00,4.70,0.00,0.146816,0.00
2,Swingup,0.00,0.00,4.70,0.00,0.002632,0.00
3,Swingup,0.00,0.00,4.70,0.00,0.002508,0.00
4,Swingup,0.00,0.00,4.70,0.00,0.002570,0.00
5,Swingup,0.00,0.00,4.70,0.00,0.002594,0.00
6,Swingup,0.00,0.00,4.70,0.00,0.002665,0.00
7,Swingup,0.00,0.00,4.70,0.00,0.002653,0.00
8,Swingup,0.00,0.00,4.70,0.00,0.002567,0.00
9,Swingup,0.00,0.00,4.70,0.00,0.002636,0.00
10,Swingup,0.00,0.00,4.70,0.00,0.002493,0.00
11,Swingup,0.00,0.00,4.70,0.00,0.002431,0.00
12,Swingup,0.00,0.00,4.70,0.00,0.002317,0.00
13,Swingup,0.00,0.00,4.70,0.00,0.002572,0.00
14,Swingup,0.00,0.00,4.70,0.00,0.002503,0.00
15,Swingup,0.00,0.00,4.70,0.00,0.002553,0.00
16,Swingup,0.00,0.00,4.70,0.00,0.002453,0.00
17,Swingup,0.00,0.00,4.70,0.00,0.002759,0.00
18,Swingup,0.00,0.00,4.70,0.00,0.002524,0.00
19,Swingup,0.00,0.00,4.70,0.00,0.002538,0.00
20,Swingup,0.00,0.00,4.70,0.00,0.002880,0.00
21,Swingup,0.00,0.00,4.70,0.00,0.012687,0.00
22,Swingup,0.00,0.00,4.70,0.00,0.002213,0.00
23,Swingup,0.00,0.00,4.70,0.00,0.002319,0.00
24,Swingup,0.00,0.00,4.70,0.00,0.002454,0.00
25,Swingup,0.00,0.00,4.70,0.00,0.002566,0.00
26,Swingup,0.00,0.00,4.70,0.00,0.002581,0.00
27,Swingup,0.00,0.00,4.70,0.00,0.002558,0.00
28,Swingup,0.00,0.00,4.70,0.00,0.002575,0.00
29,Swingup,0.00,0.00,4.70,0.00,0.002495,0.00
30,Swingup,0.00,0.00,4.70,0.00,0.002078,0.00
31,Swingup,0.00,0.00,4.70,0.00,0.002671,0.00
32,Swingup,0.00,0.00,4.70,0.00,0.002025,0.00
33,Swingup,0.00,0.00,4.70,0.00,0.002787,0.00
34,Swingup,0.00,0.00,4.70,0.00,0.002580,0.00
35,Swingup,0.00,0.00,4.70,0.00,0.002474,0.00
36,Swingup,0.00,0.00,4.70,0.00,0.002530,0.00
37,Swingup,0.00,0.00,4.70,0.00,0.002644,0.00
38,Swingup,0.00,0.00,4.70,0.00,0.002325,0.00
39,Swingup,0.00,0.00,4.70,0.00,0.002791,0.00
40,Swingup,0.00,0.00,4.70,0.00,0.002569,0.00
41,Swingup,0.00,0.00,4.70,0.00,0.010059,0.00
42,Swingup,0.00,0.00,4.70,0.00,0.002457,0.00
43,Swingup,0.00,0.00,4.70,0.00,0.002351,0.00
44,Swingup,0.00,0.00,4.70,0.00,0.002607,0.00
45,Swingup,0.00,0.00,4.70,0.00,0.002143,0.00
46,Swingup,0.00,0.00,4.70,0.00,0.002213,0.00
47,Swingup,0.00,0.00,4.70,0.00,0.002857,0.00
48,Swingup,0.00,0.00,4.70,0.00,0.001644,0.00
49,Swingup,0.00,0.00,4.70,0.00,0.002625,0.00
50,Swingup,0.00,0.00,4.70,0.00,0.002528,0.00
51,Swingup,0.00,0.00,4.70,0.00,0.002204,0.00
52,Swingup,0.00,0.00,4.70,0.00,0.002722,0.00
53,Swingup,0.00,0.00,4.70,0.00,0.002480,0.00
54,Swingup,0.00,0.00,4.70,0.00,0.002221,0.00
55,Swingup,0.00,0.00,4.70,0.00,0.002371,0.00
56,Swingup,0.00,0.00,4.70,0.00,0.002453,0.00
57,Swingup,0.00,0.00,4.70,0.00,0.002628,0.00
58,Swingup,0.00,0.00,4.70,0.00,0.002481,0.00
59,Swingup,0.00,0.00,4.70,0.00,0.002576,0.00
60,Swingup,0.00,0.00,4.70,0.00,0.002673,0.00
61,Swingup,0.00,0.00,4.70,0.00,0.009698,0.00
62,Swingup,0.00,0.00,4.70,0.00,0.002210,0.00
63,Swingup,0.00,0.00,4.70,0.00,0.002603,0.00
64,Swingup,0.00,0.00,4.70,0.00,0.002066,0.00
65,Swingup,0.00,0.00,4.70,0.00,0.002614,0.00
66,Swingup,0.00,0.00,4.70,0.00,0.002648,0.00
67,Swingup,0.00,0.00,4.70,0.00,0.002148,0.00
68,Swingup,0.00,0.00,4.70,0.00,0.002544,0.00
69,Swingup,0.00,0.00,4.70,0.00,0.002568,0.00
70,Swingup,0.00,0.00,4.70,0.00,0.002410,0.00
71,Swingup,0.00,0.00,4.70,0.00,0.002533,0.00
72,Swingup,0.00,0.00,4.70,0.00,0.002619,0.00
73,Swingup,0.00,0.00,4.70,0.00,0.002584,0.00
74,Swingup,0.00,0.00,4.70,0.00,0.002413,0.00
75,Swingup,0.00,0.00,4.70,0.00,0.002448,0.00
76,Swingup,0.00,0.00,4.70,0.00,0.002657,0.00
77,Swingup,0.00,0.00,4.70,0.00,0.002690,0.00
78,Swingup,0.00,0.00,4.70,0.00,0.002655,0.00
79,Swingup,0.00,0.00,4.70,0.00,0.002660,0.00
80,Swingup,0.00,0.00,4.70,0.00,0.002310,0.00
81,Swingup,0.00,0.00,4.70,0.00,0.009324,0.00
82,Swingup,0.00,0.00,4.70,0.00,0.002316,0.00
83,Swingup,0.00,0.00,4.70,0.00,0.002430,0.00
84,Swingup,0.00,0.00,4.70,0.00,0.002539,0.00
85,Swingup,0.00,0.00,4.70,0.00,0.002526,0.00
86,Swingup,0.00,0.00,4.70,0.00,0.002712,0.00
87,Swingup,0.00,0.00,4.70,0.00,0.002432,0.00
88,Swingup,0.00,0.00,4.70,0.00,0.002268,0.00
89,Swingup,0.00,0.00,4.70,0.00,0.002542,0.00
90,Swingup,0.00,0.00,4.70,0.00,0.002226,0.00
91,Swingup,0.00,0.00,4.70,0.00,0.002382,0.00
92,Swingup,0.00,0.00,4.70,0.00,0.002539,0.00
93,Swingup,0.00,0.00,4.70,0.00,0.002286,0.00
94,Swingup,0.00,0.00,4.70,0.00,0.002486,0.00
95,Swingup,0.00,0.00,4.70,0.00,0.002460,0.00
96,Swingup,0.00,0.00,4.70,0.00,0.002147,0.00
97,Swingup,0.00,0.00,4.70,0.00,0.002332,0.00
98,Swingup,0.00,0.00,4.70,0.00,0.002437,0.00
99,Swingup,0.00,0.00,4.70,0.00,0.002202,0.00
100,Swingup,0.00,0.00,4.70,0.00,0.002015,0.00
101,Swingup,0.00,0.00,4.70,0.00,0.010512,0.00
102,Swingup,0.00,0.00,4.70,0.00,0.002491,0.00
103,Swingup,0.00,0.00,4.70,0.00,0.002414,0.00
104,Swingup,0.00,0.00,4.70,0.00,0.002121,0.00
105,Swingup,0.00,0.00,4.70,0.00,0.002211,0.00
106,Swingup,0.00,0.00,4.70,0.00,0.002645,0.00
107,Swingup,0.00,0.00,4.70,0.00,0.002110,0.00
108,Swingup,0.00,0.00,4.70,0.00,0.002542,0.00
109,Swingup,0.00,0.00,4.70,0.00,0.002420,0.00
110,Swingup,0.00,0.00,4.70,0.00,0.002339,0.00
111,Swingup,0.00,0.00,4.70,0.00,0.002205,0.00
112,Swingup,0.00,0.00,4.70,0.00,0.002885,0.00
113,Swingup,0.00,0.00,4.70,0.00,0.002062,0.00
114,Swingup,0.00,0.00,4.70,0.00,0.002497,0.00
115,Swingup,0.00,0.00,4.70,0.00,0.002595,0.00
116,Swingup,0.00,0.00,4.70,0.00,0.002415,0.00
117,Swingup,0.00,0.00,4.70,0.00,0.002553,0.00
118,Swingup,0.00,0.00,4.70,0.00,0.002971,0.00
119,Swingup,0.00,0.00,4.70,0.00,0.002233,0.00
120,Swingup,0.00,0.00,4.70,0.00,0.002514,0.00
121,Swingup,0.00,0.00,4.70,0.00,0.005765,0.00
122,Swingup,0.00,0.00,4.70,0.00,0.002169,0.00
123,Swingup,0.00,0.00,4.70,0.00,0.002608,0.00
124,Swingup,0.00,0.00,4.70,0.00,0.002464,0.00
125,Swingup,0.00,0.00,4.70,0.00,0.002038,0.00
126,Swingup,0.00,0.00,4.70,0.00,0.002166,0.00
127,Swingup,0.00,0.00,4.70,0.00,0.001986,0.00
128,Swingup,0.00,0.00,4.70,0.00,0.002462,0.00
129,Swingup,0.00,0.00,4.70,0.00,0.002307,0.00
130,Swingup,0.00,0.00,4.70,0.00,0.002605,0.00
131,Swingup,0.00,0.00,4.70,0.00,0.002600,0.00
132,Swingup,0.00,0.00,4.70,0.00,0.001941,0.00
133,Swingup,0.00,0.00,4.70,0.00,0.002730,0.00
134,Swingup,0.00,0.00,4.70,0.00,0.002040,0.00
135,Swingup,0.00,0.00,4.70,0.00,0.002479,0.00
136,Swingup,0.00,0.00,4.70,0.00,0.002561,0.00
137,Swingup,0.00,0.00,4.70,0.00,0.002453,0.00
138,Swingup,0.00,0.00,4.70,0.00,0.002255,0.00
139,Swingup,0.00,0.00,4.70,0.00,0.002375,0.00
140,Swingup,0.00,0.00,4.70,0.00,0.002781,0.00
141,Swingup,0.00,0.00,4.70,0.00,0.005866,0.00
142,Swingup,0.00,0.00,4.70,0.00,0.001938,0.00
143,Swingup,0.00,0.00,4.70,0.00,0.002289,0.00
144,Swingup,0.00,0.00,4.70,0.00,0.002496,0.00
145,Swingup,0.00,0.00,4.70,0.00,0.002266,0.00
146,Swingup,0.00,0.00,4.70,0.00,0.002328,0.00
147,Swingup,0.00,0.00,4.70,0.00,0.002549,0.00
148,Swingup,0.00,0.00,4.70,0.00,0.002583,0.00
149,Swingup,0.00,0.00,4.70,0.00,0.002402,0.00
150,Swingup,0.00,0.00,4.70,0.00,0.002506,0.00
151,Swingup,0.00,0.00,4.70,0.00,0.002439,0.00
152,Swingup,0.00,0.00,4.70,0.00,0.002279,0.00
153,Swingup,0.00,0.00,4.70,0.00,0.002179,0.00
154,Swingup,0.00,0.00,4.70,0.00,0.002245,0.00
155,Swingup,0.00,0.00,4.70,0.00,0.002481,0.00
156,Swingup,0.00,0.00,4.70,0.00,0.002590,0.00
157,Swingup,0.00,0.00,4.70,0.00,0.002818,0.00
158,Swingup,0.00,0.00,4.70,0.00,0.002213,0.00
159,Swingup,0.00,0.00,4.70,0.00,0.002258,0.00
160,Swingup,0.00,0.00,4.70,0.00,0.002080,0.00
161,Swingup,0.00,0.00,4.70,0.00,0.006072,0.00
162,Swingup,0.00,0.00,4.70,0.00,0.002584,0.00
163,Swingup,0.00,0.00,4.70,0.00,0.002172,0.00
164,Swingup,0.00,0.00,4.70,0.00,0.002899,0.00
165,Swingup,0.00,0.00,4.70,0.00,0.002316,0.00
166,Swingup,0.00,0.00,4.70,0.00,0.002789,0.00
167,Swingup,0.00,0.00,4.70,0.00,0.002516,0.00
168,Swingup,0.00,0.00,4.70,0.00,0.001944,0.00
169,Swingup,0.00,0.00,4.70,0.00,0.002393,0.00
170,Swingup,0.00,0.00,4.70,0.00,0.002427,0.00
171,Swingup,0.00,0.00,4.70,0.00,0.002443,0.00
172,Swingup,0.00,0.00,4.70,0.00,0.002205,0.00
173,Swingup,0.00,0.00,4.70,0.00,0.002026,0.00
174,Swingup,0.00,0.00,4.70,0.00,0.002540,0.00
175,Swingup,0.00,0.00,4.70,0.00,0.002592,0.00
176,Swingup,0.00,0.00,4.70,0.00,0.002444,0.00
177,Swingup,0.00,0.00,4.70,0.00,0.002505,0.00
178,Swingup,0.00,0.00,4.70,0.00,0.002511,0.00
179,Swingup,0.00,0.00,4.70,0.00,0.002254,0.00
180,Swingup,0.00,0.00,4.70,0.00,0.002831,0.00
181,Swingup,0.00,0.00,4.70,0.00,0.006007,0.00
182,Swingup,0.00,0.00,4.70,0.00,0.002460,0.00
183,Swingup,0.00,0.00,4.70,0.00,0.002504,0.00
184,Swingup,0.00,0.00,4.70,0.00,0.002441,0.00
185,Swingup,0.00,0.00,4.70,0.00,0.002211,0.00
186,Swingup,0.00,0.00,4.70,0.00,0.002749,0.00
187,Swingup,0.00,0.00,4.70,0.00,0.002519,0.00
188,Swingup,0.00,0.00,4.70,0.00,0.002102,0.00
189,Swingup,0.00,0.00,4.70,0.00,0.002665,0.00
190,Swingup,0.00,0.00,4.70,0.00,0.002366,0.00
191,Swingup,0.00,0.00,4.70,0.00,0.002215,0.00
192,Swingup,0.00,0.00,4.70,0.00,0.001966,0.00
193,Swingup,0.00,0.00,4.70,0.00,0.002098,0.00
194,Swingup,0.00,0.00,4.70,0.00,0.002112,0.00
195,Swingup,0.00,0.00,4.70,0.00,0.002652,0.00
196,Swingup,0.00,0.00,4.70,0.00,0.002497,0.00
197,Swingup,0.00,0.00,4.70,0.00,0.002657,0.00
198,Swingup,0.00,0.00,4.70,0.00,0.002107,0.00
199,Swingup,0.00,0.00,4.70,0.00,0.002698,0.00
200,Swingup,0.00,0.00,4.70,0.00,0.002400,0.00
201,Swingup,0.00,0.00,4.70,0.00,0.011414,0.00
202,Swingup,0.00,0.00,4.70,0.00,0.002363,0.00
203,Swingup,0.00,0.00,4.70,0.00,0.002701,0.00
204,Swingup,0.00,0.00,4.70,0.00,0.002071,0.00
205,Swingup,0.00,0.00,4.70,0.00,0.003042,0.00
206,Swingup,0.00,0.00,4.70,0.00,0.002168,0.00
207,Swingup,0.00,0.00,4.70,0.00,0.002655,0.00
208,Swingup,0.00,0.00,4.70,0.00,0.002624,0.00
209,Swingup,0.00,0.00,4.70,0.00,0.002505,0.00
210,Swingup,0.00,0.00,4.70,0.00,0.002509,0.00
211,Swingup,0.00,0.00,4.70,0.00,0.002712,0.00
212,Swingup,0.00,0.00,4.70,0.00,0.001933,0.00
213,Swingup,0.00,0.00,4.70,0.00,0.002662,0.00
214,Swingup,0.00,0.00,4.70,0.00,0.002381,0.00
215,Swingup,0.00,0.00,4.70,0.00,0.002591,0.00
216,Swingup,0.00,0.00,4.70,0.00,0.002608,0.00
217,Swingup,0.00,0.00,4.70,0.00,0.002826,0.00
218,Swingup,0.00,0.00,4.70,0.00,0.002128,0.00
219,Swingup,0.00,0.00,4.70,0.00,0.002255,0.00
220,Swingup,0.00,0.00,4.70,0.00,0.002339,0.00
221,Swingup,0.00,0.00,4.70,0.00,0.004077,0.00
222,Swingup,0.00,0.00,4.70,0.00,0.002521,0.00
223,Swingup,0.00,0.00,4.70,0.00,0.002547,0.00
224,Swingup,0.00,0.00,4.70,0.00,0.002613,0.00
225,Swingup,0.00,0.00,4.70,0.00,0.002768,0.00
226,Swingup,0.00,0.00,4.70,0.00,0.002427,0.00
227,Swingup,0.00,0.00,4.70,0.00,0.002542,0.00
228,Swingup,0.00,0.00,4.70,0.00,0.002478,0.00
229,Swingup,0.00,0.00,4.70,0.00,0.002295,0.00
230,Swingup,0.00,0.00,4.70,0.00,0.002347,0.00
231,Swingup,0.00,0.00,4.70,0.00,0.002460,0.00
232,Swingup,0.00,0.00,4.70,0.00,0.003165,0.00
233,Swingup,0.00,0.00,4.70,0.00,0.002737,0.00
234,Swingup,0.00,0.00,4.70,0.00,0.001763,0.00
235,Swingup,0.00,0.00,4.70,0.00,0.002832,0.00
236,Swingup,0.00,0.00,4.70,0.00,0.002594,0.00
237,Swingup,0.00,0.00,4.70,0.00,0.001758,0.00
238,Swingup,0.00,0.00,4.70,0.00,0.002150,0.00
239,Swingup,0.00,0.00,4.70,0.00,0.002749,0.00
240,Swingup,0.00,0.00,4.70,0.00,0.001971,0.00
241,Swingup,0.00,0.00,4.70,0.00,0.003843,0.00
242,Swingup,0.00,0.00,4.70,0.00,0.002430,0.00
243,Swingup,0.00,0.00,4.70,0.00,0.002552,0.00
244,Swingup,0.00,0.00,4.70,0.00,0.002634,0.00
245,Swingup,0.00,0.00,4.70,0.00,0.003965,0.00
246,Swingup,0.00,0.00,4.70,0.00,0.001734,0.00
247,Swingup,0.00,0.00,4.70,0.00,0.001862,0.00
248,Swingup,0.00,0.00,4.70,0.00,0.002243,0.00
249,Swingup,0.00,0.00,4.70,0.00,0.002542,0.00
250,Swingup,0.00,0.00,4.70,0.00,0.002091,0.00
251,Swingup,0.00,0.00,4.70,0.00,0.002613,0.00
252,Swingup,0.00,0.00,4.70,0.00,0.002217,0.00
253,Swingup,0.00,0.00,4.70,0.00,0.002559,0.00
254,Swingup,0.00,0.00,4.70,0.00,0.001870,0.00
255,Swingup,0.00,0.00,4.70,0.00,0.002651,0.00
256,Swingup,0.00,0.00,4.70,0.00,0.002393,0.00
257,Swingup,0.00,0.00,4.70,0.00,0.002549,0.00
258,Swingup,0.00,0.00,4.70,0.00,0.002368,0.00
259,Swingup,0.00,0.00,4.70,0.00,0.002591,0.00
260,Swingup,0.00,0.00,4.70,0.00,0.002526,0.00
261,Swingup,0.00,0.00,4.70,0.00,0.005673,0.00
262,Swingup,0.00,0.00,4.70,0.00,0.002390,0.00
263,Swingup,0.00,0.00,4.70,0.00,0.002413,0.00
264,Swingup,0.00,0.00,4.70,0.00,0.002524,0.00
265,Swingup,0.00,0.00,4.70,0.00,0.001900,0.00
266,Swingup,0.00,0.00,4.70,0.00,0.002660,0.00
267,Swingup,0.00,0.00,4.70,0.00,0.002493,0.00
268,Swingup,0.00,0.00,4.70,0.00,0.002311,0.00
269,Swingup,0.00,0.00,4.70,0.00,0.002012,0.00
270,Swingup,0.00,0.00,4.70,0.00,0.002224,0.00
271,Swingup,0.00,0.00,4.70,0.00,0.002603,0.00
272,Swingup,0.00,0.00,4.70,0.00,0.001906,0.00
273,Swingup,0.00,0.00,4.70,0.00,0.002036,0.00
274,Swingup,0.00,0.00,4.70,0.00,0.002749,0.00
275,Swingup,0.00,0.00,4.70,0.00,0.002467,0.00
276,Swingup,0.00,0.00,4.70,0.00,0.002506,0.00
277,Swingup,0.00,0.00,4.70,0.00,0.002487,0.00
278,Swingup,0.00,0.00,4.70,0.00,0.002731,0.00
279,Swingup,0.00,0.00,4.70,0.00,0.002180,0.00
280,Swingup,0.00,0.00,4.70,0.00,0.002647,0.00
281,Swingup,0.00,0.00,4.70,0.00,0.003816,0.00
282,Swingup,0.00,0.00,4.70,0.00,0.002086,0.00
283,Swingup,0.00,0.00,4.70,0.00,0.002220,0.00
