Step,Mode,PendulumAngle,PendulumVelocity,MotorPosition,MotorVelocity,dt,Voltage
1,Swingup,359.82,0.00,2.76,0.00,0.038184,0.00
2,Swingup,359.82,0.00,2.76,0.00,0.002373,0.00
3,Swingup,359.82,0.00,2.76,0.00,0.002287,0.00
4,Swingup,359.82,0.00,2.76,0.00,0.002519,0.00
5,Swingup,359.82,0.00,2.76,0.00,0.002352,0.00
6,Swingup,359.82,0.00,2.76,0.00,0.002095,0.00
7,Swingup,359.82,0.00,2.76,0.00,0.002451,0.00
8,Swingup,359.82,0.00,2.76,0.00,0.002617,0.00
9,Swingup,359.82,0.00,2.76,0.00,0.002472,0.00
10,Swingup,359.82,0.00,2.76,0.00,0.002331,0.00
11,Swingup,359.82,0.00,2.76,0.00,0.002372,0.00
12,Swingup,359.82,0.00,2.76,0.00,0.002316,0.00
13,Swingup,359.82,0.00,2.76,0.00,0.002146,0.00
14,Swingup,359.82,0.00,2.76,0.00,0.002433,0.00
15,Swingup,359.82,0.00,2.76,0.00,0.002178,0.00
16,Swingup,359.82,0.00,2.76,0.00,0.002304,0.00
17,Swingup,359.82,0.00,2.76,0.00,0.002302,0.00
18,Swingup,359.82,0.00,2.76,0.00,0.002239,0.00
19,Swingup,359.82,0.00,2.76,0.00,0.002717,0.00
20,Swingup,359.82,0.00,2.76,0.00,0.002600,0.00
21,Swingup,359.82,0.00,2.76,0.00,0.020186,0.00
22,Swingup,359.82,0.00,2.76,0.00,0.002691,0.00
23,Swingup,359.82,0.00,2.76,0.00,0.002532,0.00
24,Swingup,359.82,0.00,2.76,0.00,0.002981,0.00
25,Swingup,359.82,0.00,2.76,0.00,0.002419,0.00
26,Swingup,359.82,0.00,2.76,0.00,0.002238,0.00
27,Swingup,359.82,0.00,2.76,0.00,0.002409,0.00
28,Swingup,359.82,0.00,2.76,0.00,0.002382,0.00
29,Swingup,359.82,0.00,2.76,0.00,0.002636,0.00
30,Swingup,359.82,0.00,2.76,0.00,0.002344,0.00
31,Swingup,359.82,0.00,2.76,0.00,0.002425,0.00
32,Swingup,359.82,0.00,2.76,0.00,0.002769,0.00
33,Swingup,359.82,0.00,2.76,0.00,0.002271,0.00
34,Swingup,359.82,0.00,2.76,0.00,0.002420,0.00
35,Swingup,359.82,0.00,2.76,0.00,0.002630,0.00
36,Swingup,359.82,0.00,2.76,0.00,0.002794,0.00
37,Swingup,359.82,0.00,2.76,0.00,0.002098,0.00
38,Swingup,359.82,0.00,2.76,0.00,0.002827,0.00
39,Swingup,359.82,0.00,2.76,0.00,0.002388,0.00
40,Swingup,359.82,0.00,2.76,0.00,0.002618,0.00
41,Swingup,359.82,0.00,2.76,0.00,0.005984,0.00
42,Swingup,359.82,0.00,2.76,0.00,0.002212,0.00
43,Swingup,359.82,0.00,2.76,0.00,0.002421,0.00
44,Swingup,359.82,0.00,2.76,0.00,0.002662,0.00
45,Swingup,359.82,0.00,2.76,0.00,0.002852,0.00
46,Swingup,359.82,0.00,2.76,0.00,0.002152,0.00
47,Swingup,359.82,0.00,2.76,0.00,0.002785,0.00
48,Swingup,359.82,0.00,2.76,0.00,0.002144,0.00
49,Swingup,359.82,0.00,2.76,0.00,0.002187,0.00
50,Swingup,359.82,0.00,2.76,0.00,0.003017,0.00
51,Swingup,359.82,0.00,2.76,0.00,0.002376,0.00
52,Swingup,359.82,0.00,2.76,0.00,0.001976,0.00
53,Swingup,359.82,0.00,2.76,0.00,0.002523,0.00
54,Swingup,359.82,0.00,2.76,0.00,0.002148,0.00
55,Swingup,359.82,0.00,2.76,0.00,0.002470,0.00
56,Swingup,359.82,0.00,2.76,0.00,0.002675,0.00
57,Swingup,359.82,0.00,2.76,0.00,0.002280,0.00
58,Swingup,359.82,0.00,2.76,0.00,0.002385,0.00
59,Swingup,359.82,0.00,2.76,0.00,0.002786,0.00
60,Swingup,359.82,0.00,2.76,0.00,0.002138,0.00
61,Swingup,359.82,0.00,2.76,0.00,0.008437,0.00
62,Swingup,359.82,0.00,2.76,0.00,0.002599,0.00
63,Swingup,359.82,0.00,2.76,0.00,0.001920,0.00
64,Swingup,359.82,0.00,2.76,0.00,0.002101,0.00
65,Swingup,359.82,0.00,2.76,0.00,0.002078,0.00
66,Swingup,359.82,0.00,2.76,0.00,0.002075,0.00
67,Swingup,359.82,0.00,2.76,0.00,0.002215,0.00
68,Swingup,359.82,0.00,2.76,0.00,0.002502,0.00
69,Swingup,359.82,0.00,2.76,0.00,0.002117,0.00
70,Swingup,359.82,0.00,2.76,0.00,0.002745,0.00
71,Swingup,359.82,0.00,2.76,0.00,0.002032,0.00
72,Swingup,359.82,0.00,2.76,0.00,0.002372,0.00
73,Swingup,359.82,0.00,2.76,0.00,0.002468,0.00
74,Swingup,359.82,0.00,2.76,0.00,0.002285,0.00
75,Swingup,359.82,0.00,2.76,0.00,0.002198,0.00
76,Swingup,359.82,0.00,2.76,0.00,0.002212,0.00
77,Swingup,359.82,0.00,2.76,0.00,0.002244,0.00
78,Swingup,359.82,0.00,2.76,0.00,0.002563,0.00
79,Swingup,359.82,0.00,2.76,0.00,0.002158,0.00
80,Swingup,359.82,0.00,2.76,0.00,0.002153,0.00
81,Swingup,359.82,0.00,2.76,0.00,0.007112,0.00
82,Swingup,359.82,0.00,2.76,0.00,0.002604,0.00
83,Swingup,359.82,0.00,2.76,0.00,0.002444,0.00
84,Swingup,359.82,0.00,2.76,0.00,0.002508,0.00
85,Swingup,359.82,0.00,2.76,0.00,0.002039,0.00
86,Swingup,359.82,0.00,2.76,0.00,0.002451,0.00
87,Swingup,359.82,0.00,2.76,0.00,0.002288,0.00
88,Swingup,359.82,0.00,2.76,0.00,0.002288,0.00
89,Swingup,359.82,0.00,2.76,0.00,0.002299,0.00
90,Swingup,359.82,0.00,2.76,0.00,0.002318,0.00
91,Swingup,359.82,0.00,2.76,0.00,0.002239,0.00
92,Swingup,359.82,0.00,2.76,0.00,0.002235,0.00
93,Swingup,359.82,0.00,2.76,0.00,0.002374,0.00
94,Swingup,359.82,0.00,2.76,0.00,0.002151,0.00
95,Swingup,359.82,0.00,2.76,0.00,0.002500,0.00
96,Swingup,359.82,0.00,2.76,0.00,0.002842,0.00
97,Swingup,359.82,0.00,2.76,0.00,0.002521,0.00
98,Swingup,359.82,0.00,2.76,0.00,0.001863,0.00
99,Swingup,359.82,0.00,2.76,0.00,0.002572,0.00
100,Swingup,359.82,0.00,2.76,0.00,0.002487,0.00
101,Swingup,359.82,0.00,2.76,0.00,0.012960,0.00
102,Swingup,359.82,0.00,2.76,0.00,0.002424,0.00
103,Swingup,359.82,0.00,2.76,0.00,0.002783,0.00
104,Swingup,359.82,0.00,2.76,0.00,0.002255,0.00
105,Swingup,359.82,0.00,2.76,0.00,0.002209,0.00
106,Swingup,359.82,0.00,2.76,0.00,0.002208,0.00
107,Swingup,359.82,0.00,2.76,0.00,0.002307,0.00
108,Swingup,359.82,0.00,2.76,0.00,0.002433,0.00
109,Swingup,359.82,0.00,2.76,0.00,0.002357,0.00
110,Swingup,359.82,0.00,2.76,0.00,0.002407,0.00
111,Swingup,359.82,0.00,2.76,0.00,0.002668,0.00
112,Swingup,359.82,0.00,2.76,0.00,0.002471,0.00
113,Swingup,359.82,0.00,2.76,0.00,0.002504,0.00
